run_id,run_folder,start,end,interval,status,message,run_directory
2022-10-09_to_2022-10-10,D:\flood prediction\Data Collections\reconstructed_discharge\2022-10-09_to_2022-10-10,"09OCT2022,0000","10OCT2022,2300",1HOUR,SUCCESS,elapsed=3.1s,D:\flood prediction\Data Collections\automated_runs\2022-10-09_to_2022-10-10
2022-10-14_to_2022-10-15,D:\flood prediction\Data Collections\reconstructed_discharge\2022-10-14_to_2022-10-15,"14OCT2022,0000","15OCT2022,2300",1HOUR,SUCCESS,elapsed=3.2s,D:\flood prediction\Data Collections\automated_runs\2022-10-14_to_2022-10-15
2022-10-22_to_2022-10-22,D:\flood prediction\Data Collections\reconstructed_discharge\2022-10-22_to_2022-10-22,"22OCT2022,0000","22OCT2022,2300",1HOUR,SUCCESS,elapsed=3.0s,D:\flood prediction\Data Collections\automated_runs\2022-10-22_to_2022-10-22
2022-10-25_to_2022-10-25,D:\flood prediction\Data Collections\reconstructed_discharge\2022-10-25_to_2022-10-25,"25OCT2022,0000","25OCT2022,2300",1HOUR,SUCCESS,elapsed=3.2s,D:\flood prediction\Data Collections\automated_runs\2022-10-25_to_2022-10-25
2022-11-19_to_2022-11-21,D:\flood prediction\Data Collections\reconstructed_discharge\2022-11-19_to_2022-11-21,"19NOV2022,0000","21NOV2022,2300",1HOUR,SUCCESS,elapsed=3.1s,D:\flood prediction\Data Collections\automated_runs\2022-11-19_to_2022-11-21
2022-12-01_to_2022-12-05_2022-12-01_to_2022-12-04,D:\flood prediction\Data Collections\reconstructed_discharge\2022-12-01_to_2022-12-05\2022-12-01_to_2022-12-04,"01DEC2022,0000","04DEC2022,2300",1HOUR,SUCCESS,elapsed=3.1s,D:\flood prediction\Data Collections\automated_runs\2022-12-01_to_2022-12-05_2022-12-01_to_2022-12-04
2022-12-01_to_2022-12-05_2022-12-04_to_2022-12-05,D:\flood prediction\Data Collections\reconstructed_discharge\2022-12-01_to_2022-12-05\2022-12-04_to_2022-12-05,"04DEC2022,0000","05DEC2022,2300",1HOUR,SUCCESS,elapsed=3.0s,D:\flood prediction\Data Collections\automated_runs\2022-12-01_to_2022-12-05_2022-12-04_to_2022-12-05
2022-12-17_to_2022-12-17,D:\flood prediction\Data Collections\reconstructed_discharge\2022-12-17_to_2022-12-17,"17DEC2022,0000","17DEC2022,2300",1HOUR,SUCCESS,elapsed=3.1s,D:\flood prediction\Data Collections\automated_runs\2022-12-17_to_2022-12-17
2023-01-16_to_2023-01-16,D:\flood prediction\Data Collections\reconstructed_discharge\2023-01-16_to_2023-01-16,"16JAN2023,0000","16JAN2023,2300",1HOUR,SUCCESS,elapsed=2.9s,D:\flood prediction\Data Collections\automated_runs\2023-01-16_to_2023-01-16
2023-01-24_to_2023-01-24,D:\flood prediction\Data Collections\reconstructed_discharge\2023-01-24_to_2023-01-24,"24JAN2023,0000","24JAN2023,2300",1HOUR,SUCCESS,elapsed=3.0s,D:\flood prediction\Data Collections\automated_runs\2023-01-24_to_2023-01-24
