date,discharge_m3s
2010-01-01,168.73438
2010-01-02,164.65625
2010-01-03,161.96875
2010-01-04,160.10938
2010-01-05,158.42188
2010-01-06,156.46875
2010-01-07,155.28125
2010-01-08,155.26562
2010-01-09,155.5625
2010-01-10,153.75
2010-01-11,153.07812
2010-01-12,265.8125
2010-01-13,905.0156
2010-01-14,988.21875
2010-01-15,579.9844
2010-01-16,383.96875
2010-01-17,319.32812
2010-01-18,328.9375
2010-01-19,491.17188
2010-01-20,890.96875
2010-01-21,1180.2188
2010-01-22,856.9219
2010-01-23,558.0
2010-01-24,516.0469
2010-01-25,329.46875
2010-01-26,307.29688
2010-01-27,393.26562
2010-01-28,323.5
2010-01-29,211.92188
2010-01-30,178.96875
2010-01-31,170.92188
2010-02-01,166.28125
2010-02-02,162.78125
2010-02-03,160.04688
2010-02-04,160.29688
2010-02-05,167.90625
2010-02-06,164.92188
2010-02-07,156.0
2010-02-08,152.625
2010-02-09,151.5625
2010-02-10,150.65625
2010-02-11,149.75
2010-02-12,149.40625
2010-02-13,152.03125
2010-02-14,152.6875
2010-02-15,148.84375
2010-02-16,150.46875
2010-02-17,160.3125
2010-02-18,171.65625
2010-02-19,229.40625
2010-02-20,245.34375
2010-02-21,184.34375
2010-02-22,158.4375
2010-02-23,198.28125
2010-02-24,263.75
2010-02-25,185.59375
2010-02-26,168.8125
2010-02-27,157.6875
2010-02-28,149.4375
2010-03-01,151.75
2010-03-02,168.59375
2010-03-03,159.875
2010-03-04,147.96875
2010-03-05,145.125
2010-03-06,144.28125
2010-03-07,143.75
2010-03-08,143.65625
2010-03-09,163.34375
2010-03-10,312.40625
2010-03-11,415.15625
2010-03-12,266.40625
2010-03-13,181.75
2010-03-14,156.15625
2010-03-15,155.46875
2010-03-16,157.6875
2010-03-17,159.1875
2010-03-18,169.53125
2010-03-19,177.3125
2010-03-20,163.96875
2010-03-21,155.3125
2010-03-22,153.34375
2010-03-23,152.40625
2010-03-24,151.65625
2010-03-25,149.9375
2010-03-26,176.65625
2010-03-27,217.46875
2010-03-28,189.875
2010-03-29,224.1875
2010-03-30,228.84375
2010-03-31,174.46875
2010-04-01,160.875
2010-04-02,213.75
2010-04-03,275.75
2010-04-04,238.0
2010-04-05,173.21875
2010-04-06,153.96875
2010-04-07,145.65625
2010-04-08,147.78125
2010-04-09,161.125
2010-04-10,165.28125
2010-04-11,155.21875
2010-04-12,144.96875
2010-04-13,141.15625
2010-04-14,145.90625
2010-04-15,174.1875
2010-04-16,161.65625
2010-04-17,149.6875
2010-04-18,148.1875
2010-04-19,173.40625
2010-04-20,197.96875
2010-04-21,225.3125
2010-04-22,178.46875
2010-04-23,152.9375
2010-04-24,168.53125
2010-04-25,197.21875
2010-04-26,159.375
2010-04-27,150.53125
2010-04-28,220.0
2010-04-29,509.71875
2010-04-30,779.53125
2010-05-01,629.5
2010-05-02,404.40625
2010-05-03,454.625
2010-05-04,412.03125
2010-05-05,338.03125
2010-05-06,271.9375
2010-05-07,200.21875
2010-05-08,176.75
2010-05-09,187.5
2010-05-10,170.15625
2010-05-11,200.5
2010-05-12,236.9375
2010-05-13,180.34375
2010-05-14,155.9375
2010-05-15,156.375
2010-05-16,201.21875
2010-05-17,231.6875
2010-05-18,173.09375
2010-05-19,171.21875
2010-05-20,161.65625
2010-05-21,154.875
2010-05-22,199.1875
2010-05-23,234.6875
2010-05-24,178.0625
2010-05-25,194.5
2010-05-26,319.0625
2010-05-27,328.25
2010-05-28,217.75
2010-05-29,180.09375
2010-05-30,167.4375
2010-05-31,157.34375
2010-06-01,153.96875
2010-06-02,153.5625
2010-06-03,195.78125
2010-06-04,352.5
2010-06-05,531.15625
2010-06-06,722.40625
2010-06-07,734.09375
2010-06-08,571.84375
2010-06-09,473.46875
2010-06-10,440.65625
2010-06-11,500.1875
2010-06-12,429.3125
2010-06-13,501.0625
2010-06-14,458.28125
2010-06-15,246.40625
2010-06-16,187.84375
2010-06-17,177.92188
2010-06-18,178.60938
2010-06-19,173.25
2010-06-20,181.3125
2010-06-21,240.09375
2010-06-22,237.14062
2010-06-23,278.82812
2010-06-24,195.42188
2010-06-25,156.34375
2010-06-26,149.95312
2010-06-27,147.92188
2010-06-28,146.46875
2010-06-29,148.42188
2010-06-30,152.39062
2010-07-01,209.23438
2010-07-02,536.0
2010-07-03,690.90625
2010-07-04,430.71875
2010-07-05,319.09375
2010-07-06,300.23438
2010-07-07,208.76562
2010-07-08,170.90625
2010-07-09,169.625
2010-07-10,174.57812
2010-07-11,168.96875
2010-07-12,165.01562
2010-07-13,171.76562
2010-07-14,204.26562
2010-07-15,285.28125
2010-07-16,397.20312
2010-07-17,388.79688
2010-07-18,328.28125
2010-07-19,216.84375
2010-07-20,215.82812
2010-07-21,203.70312
2010-07-22,218.14062
2010-07-23,222.09375
2010-07-24,390.79688
2010-07-25,1011.71875
2010-07-26,1092.9062
2010-07-27,906.90625
2010-07-28,680.28125
2010-07-29,332.625
2010-07-30,264.46875
2010-07-31,241.9375
2010-08-01,402.4375
2010-08-02,726.9531
2010-08-03,654.9844
2010-08-04,349.92188
2010-08-05,249.73438
2010-08-06,325.03125
2010-08-07,403.01562
2010-08-08,397.85938
2010-08-09,474.3125
2010-08-10,533.09375
2010-08-11,656.625
2010-08-12,707.9219
2010-08-13,626.4531
2010-08-14,578.2969
2010-08-15,602.1875
2010-08-16,621.375
2010-08-17,696.0781
2010-08-18,794.5781
2010-08-19,598.9375
2010-08-20,665.40625
2010-08-21,1801.8438
2010-08-22,1211.7188
2010-08-23,860.5781
2010-08-24,1927.7734
2010-08-25,1328.9844
2010-08-26,427.40625
2010-08-27,334.15625
2010-08-28,528.8906
2010-08-29,878.4531
2010-08-30,729.90625
2010-08-31,475.1797
2010-09-01,555.8125
2010-09-02,1194.125
2010-09-03,1899.0547
2010-09-04,1464.8359
2010-09-05,917.875
2010-09-06,737.53125
2010-09-07,572.83594
2010-09-08,347.53125
2010-09-09,284.6172
2010-09-10,271.1875
2010-09-11,388.0625
2010-09-12,515.66406
2010-09-13,550.91406
2010-09-14,457.9375
2010-09-15,444.76562
2010-09-16,454.39062
2010-09-17,348.97656
2010-09-18,615.35156
2010-09-19,776.0
2010-09-20,614.65625
2010-09-21,387.71094
2010-09-22,257.14844
2010-09-23,329.10938
2010-09-24,591.27344
2010-09-25,500.04688
2010-09-26,259.66406
2010-09-27,241.46875
2010-09-28,353.875
2010-09-29,363.78906
2010-09-30,320.2578
2010-10-01,606.72656
2010-10-02,860.125
2010-10-03,1126.9609
2010-10-04,1522.3594
2010-10-05,1712.7109
2010-10-06,1240.0938
2010-10-07,966.89844
2010-10-08,1021.97656
2010-10-09,722.46875
2010-10-10,399.47656
2010-10-11,275.8203
2010-10-12,255.17969
2010-10-13,252.84375
2010-10-14,416.98438
2010-10-15,1373.6719
2010-10-16,2179.4531
2010-10-17,1300.3281
2010-10-18,559.2656
2010-10-19,746.33594
2010-10-20,953.1172
2010-10-21,704.2422
2010-10-22,318.0078
2010-10-23,233.82031
2010-10-24,208.42188
2010-10-25,193.1875
2010-10-26,243.85156
2010-10-27,1343.9062
2010-10-28,3305.3906
2010-10-29,2398.1797
2010-10-30,1396.9453
2010-10-31,1222.9609
2010-11-01,1523.5078
2010-11-02,2345.5547
2010-11-03,2139.0547
2010-11-04,1894.3906
2010-11-05,2779.1094
2010-11-06,3784.0
2010-11-07,3232.7812
2010-11-08,1887.9062
2010-11-09,1512.6797
2010-11-10,1594.8125
2010-11-11,1370.1875
2010-11-12,1043.7891
2010-11-13,1230.7031
2010-11-14,4194.914
2010-11-15,8040.836
2010-11-16,6552.2734
2010-11-17,5416.1953
2010-11-18,3100.6094
2010-11-19,1594.9922
2010-11-20,943.6797
2010-11-21,504.60156
2010-11-22,327.98438
2010-11-23,269.84375
2010-11-24,240.22656
2010-11-25,213.41406
2010-11-26,221.6875
2010-11-27,240.05469
2010-11-28,240.64062
2010-11-29,637.14844
2010-11-30,1031.7031
2010-12-01,740.22656
2010-12-02,409.16406
2010-12-03,270.4375
2010-12-04,262.89844
2010-12-05,370.1172
2010-12-06,508.14062
2010-12-07,583.8594
2010-12-08,662.2344
2010-12-09,651.5781
2010-12-10,447.89844
2010-12-11,238.46875
2010-12-12,184.85938
2010-12-13,170.875
2010-12-14,207.625
2010-12-15,537.3125
2010-12-16,604.7969
2010-12-17,351.53125
2010-12-18,355.76562
2010-12-19,232.89062
2010-12-20,188.875
2010-12-21,178.0625
2010-12-22,172.32812
2010-12-23,168.23438
2010-12-24,164.90625
2010-12-25,162.71875
2010-12-26,257.76562
2010-12-27,894.5625
2010-12-28,861.71875
2010-12-29,322.60938
2010-12-30,227.25
2010-12-31,203.95312
2011-01-01,197.34375
2011-01-02,202.70312
2011-01-03,183.82812
2011-01-04,172.14062
2011-01-05,186.48438
2011-01-06,239.45312
2011-01-07,612.3594
2011-01-08,1198.9844
2011-01-09,963.46875
2011-01-10,626.625
2011-01-11,538.59375
2011-01-12,393.32812
2011-01-13,319.65625
2011-01-14,224.26562
2011-01-15,230.34375
2011-01-16,638.8125
2011-01-17,828.125
2011-01-18,509.1875
2011-01-19,354.4375
2011-01-20,248.54688
2011-01-21,211.32812
2011-01-22,248.51562
2011-01-23,314.67188
2011-01-24,553.0781
2011-01-25,1043.2656
2011-01-26,919.8281
2011-01-27,760.09375
2011-01-28,892.46875
2011-01-29,1190.7031
2011-01-30,1268.875
2011-01-31,1310.6094
2011-02-01,1304.9844
2011-02-02,976.0625
2011-02-03,649.7656
2011-02-04,431.78125
2011-02-05,272.84375
2011-02-06,219.34375
2011-02-07,198.75
2011-02-08,187.03125
2011-02-09,178.96875
2011-02-10,173.0625
2011-02-11,168.84375
2011-02-12,166.75
2011-02-13,173.4375
2011-02-14,288.46875
2011-02-15,388.0
2011-02-16,221.0
2011-02-17,172.625
2011-02-18,165.34375
2011-02-19,164.59375
2011-02-20,178.34375
2011-02-21,212.625
2011-02-22,181.8125
2011-02-23,162.59375
2011-02-24,156.21875
2011-02-25,154.5
2011-02-26,153.40625
2011-02-27,152.625
2011-02-28,152.1875
2011-03-01,151.4375
2011-03-02,150.71875
2011-03-03,150.90625
2011-03-04,154.125
2011-03-05,174.375
2011-03-06,196.375
2011-03-07,167.0625
2011-03-08,180.8125
2011-03-09,218.78125
2011-03-10,179.96875
2011-03-11,185.4375
2011-03-12,170.84375
2011-03-13,154.625
2011-03-14,149.4375
2011-03-15,153.28125
2011-03-16,197.84375
2011-03-17,526.65625
2011-03-18,582.90625
2011-03-19,273.5625
2011-03-20,213.8125
2011-03-21,230.34375
2011-03-22,257.5
2011-03-23,614.6875
2011-03-24,1285.6875
2011-03-25,1439.125
2011-03-26,1387.5938
2011-03-27,1233.0
2011-03-28,1061.4688
2011-03-29,910.03125
2011-03-30,711.09375
2011-03-31,522.03125
2011-04-01,355.5625
2011-04-02,232.78125
2011-04-03,197.09375
2011-04-04,183.75
2011-04-05,175.34375
2011-04-06,169.28125
2011-04-07,164.6875
2011-04-08,161.46875
2011-04-09,159.34375
2011-04-10,158.6875
2011-04-11,156.25
2011-04-12,153.75
2011-04-13,152.1875
2011-04-14,150.84375
2011-04-15,149.78125
2011-04-16,150.96875
2011-04-17,178.03125
2011-04-18,278.9375
2011-04-19,397.1875
2011-04-20,378.875
2011-04-21,220.4375
2011-04-22,237.84375
2011-04-23,315.40625
2011-04-24,395.4375
2011-04-25,370.125
2011-04-26,241.8125
2011-04-27,341.15625
2011-04-28,528.125
2011-04-29,487.65625
2011-04-30,390.625
2011-05-01,260.6875
2011-05-02,229.09375
2011-05-03,256.28125
2011-05-04,204.0625
2011-05-05,173.53125
2011-05-06,170.5
2011-05-07,321.1875
2011-05-08,550.625
2011-05-09,430.375
2011-05-10,270.65625
2011-05-11,251.0625
2011-05-12,203.1875
2011-05-13,307.09375
2011-05-14,979.375
2011-05-15,1115.625
2011-05-16,946.96875
2011-05-17,1065.5
2011-05-18,850.9375
2011-05-19,645.03125
2011-05-20,619.9375
2011-05-21,473.46875
2011-05-22,279.875
2011-05-23,361.09375
2011-05-24,1063.9062
2011-05-25,1068.4062
2011-05-26,729.90625
2011-05-27,644.375
2011-05-28,393.21875
2011-05-29,287.5625
2011-05-30,269.75
2011-05-31,253.71875
2011-06-01,433.75
2011-06-02,697.9375
2011-06-03,742.75
2011-06-04,724.9375
2011-06-05,541.0625
2011-06-06,720.65625
2011-06-07,848.96875
2011-06-08,653.59375
2011-06-09,667.5
2011-06-10,658.625
2011-06-11,376.9375
2011-06-12,381.5625
2011-06-13,535.34375
2011-06-14,545.09375
2011-06-15,507.84375
2011-06-16,419.3125
2011-06-17,261.09375
2011-06-18,246.03125
2011-06-19,616.03125
2011-06-20,924.75
2011-06-21,630.15625
2011-06-22,387.09375
2011-06-23,259.625
2011-06-24,217.67188
2011-06-25,202.65625
2011-06-26,197.29688
2011-06-27,177.84375
2011-06-28,166.57812
2011-06-29,167.28125
2011-06-30,174.73438
2011-07-01,191.375
2011-07-02,195.54688
2011-07-03,181.875
2011-07-04,171.78125
2011-07-05,180.90625
2011-07-06,199.21875
2011-07-07,184.26562
2011-07-08,159.70312
2011-07-09,151.89062
2011-07-10,156.625
2011-07-11,229.0625
2011-07-12,319.51562
2011-07-13,236.40625
2011-07-14,208.40625
2011-07-15,304.64062
2011-07-16,338.625
2011-07-17,204.85938
2011-07-18,165.8125
2011-07-19,159.54688
2011-07-20,167.92188
2011-07-21,181.1875
2011-07-22,168.75
2011-07-23,178.53125
2011-07-24,224.21875
2011-07-25,255.35938
2011-07-26,275.75
2011-07-27,282.04688
2011-07-28,249.39062
2011-07-29,194.04688
2011-07-30,199.96875
2011-07-31,196.34375
2011-08-01,230.07812
2011-08-02,240.82812
2011-08-03,235.95312
2011-08-04,243.40625
2011-08-05,205.39062
2011-08-06,184.01562
2011-08-07,176.45312
2011-08-08,190.9375
2011-08-09,209.73438
2011-08-10,173.57812
2011-08-11,156.39062
2011-08-12,166.40625
2011-08-13,187.42188
2011-08-14,221.76562
2011-08-15,230.65625
2011-08-16,260.25
2011-08-17,316.17188
2011-08-18,246.32812
2011-08-19,240.20312
2011-08-20,273.46875
2011-08-21,305.9375
2011-08-22,373.9375
2011-08-23,267.8828
2011-08-24,230.15625
2011-08-25,198.11719
2011-08-26,202.07812
2011-08-27,177.32031
2011-08-28,160.77344
2011-08-29,158.9375
2011-08-30,194.0
2011-08-31,268.6328
2011-09-01,256.90625
2011-09-02,266.5
2011-09-03,209.77344
2011-09-04,248.875
2011-09-05,397.35156
2011-09-06,425.57812
2011-09-07,506.14844
2011-09-08,594.47656
2011-09-09,685.2344
2011-09-10,1077.8125
2011-09-11,1490.2969
2011-09-12,1114.7031
2011-09-13,532.60156
2011-09-14,432.1797
2011-09-15,507.1875
2011-09-16,620.1797
2011-09-17,452.3203
2011-09-18,315.375
2011-09-19,303.27344
2011-09-20,442.89062
2011-09-21,705.35156
2011-09-22,3400.9688
2011-09-23,10320.078
2011-09-24,11134.727
2011-09-25,7103.258
2011-09-26,4466.203
2011-09-27,4742.7734
2011-09-28,2475.8672
2011-09-29,862.27344
