date,discharge_m3s
2010-01-01,172.95312
2010-01-02,167.70312
2010-01-03,164.59375
2010-01-04,162.46875
2010-01-05,160.6875
2010-01-06,158.73438
2010-01-07,157.39062
2010-01-08,157.17188
2010-01-09,157.53125
2010-01-10,156.04688
2010-01-11,155.10938
2010-01-12,231.73438
2010-01-13,798.78125
2010-01-14,1057.7969
2010-01-15,638.90625
2010-01-16,415.82812
2010-01-17,333.625
2010-01-18,330.26562
2010-01-19,463.67188
2010-01-20,841.8906
2010-01-21,1176.1562
2010-01-22,940.59375
2010-01-23,578.2969
2010-01-24,541.6719
2010-01-25,366.5
2010-01-26,305.01562
2010-01-27,392.3125
2010-01-28,349.70312
2010-01-29,235.73438
2010-01-30,187.10938
2010-01-31,174.89062
2010-02-01,169.45312
2010-02-02,165.5625
2010-02-03,162.54688
2010-02-04,161.40625
2010-02-05,167.64062
2010-02-06,168.09375
2010-02-07,159.8125
2010-02-08,154.84375
2010-02-09,153.34375
2010-02-10,152.40625
2010-02-11,151.46875
2010-02-12,150.90625
2010-02-13,152.4375
2010-02-14,154.65625
2010-02-15,151.15625
2010-02-16,151.53125
2010-02-17,161.46875
2010-02-18,172.8125
2010-02-19,218.96875
2010-02-20,253.375
2010-02-21,201.15625
2010-02-22,165.21875
2010-02-23,181.8125
2010-02-24,261.34375
2010-02-25,204.375
2010-02-26,172.5
2010-02-27,162.78125
2010-02-28,152.59375
2010-03-01,151.53125
2010-03-02,165.71875
2010-03-03,165.03125
2010-03-04,151.90625
2010-03-05,147.03125
2010-03-06,145.8125
2010-03-07,145.1875
2010-03-08,145.0
2010-03-09,162.59375
2010-03-10,277.28125
2010-03-11,430.875
2010-03-12,299.21875
2010-03-13,201.59375
2010-03-14,163.5
2010-03-15,158.625
2010-03-16,162.09375
2010-03-17,163.4375
2010-03-18,171.15625
2010-03-19,181.25
2010-03-20,172.5
2010-03-21,161.5
2010-03-22,158.125
2010-03-23,156.90625
2010-03-24,156.03125
2010-03-25,154.75
2010-03-26,170.84375
2010-03-27,218.9375
2010-03-28,201.28125
2010-03-29,221.1875
2010-03-30,238.6875
2010-03-31,189.84375
2010-04-01,163.28125
2010-04-02,197.75
2010-04-03,268.0
2010-04-04,252.4375
2010-04-05,188.90625
2010-04-06,158.96875
2010-04-07,149.1875
2010-04-08,147.375
2010-04-09,159.0
2010-04-10,166.28125
2010-04-11,159.53125
2010-04-12,148.71875
2010-04-13,143.1875
2010-04-14,144.40625
2010-04-15,168.25
2010-04-16,168.25
2010-04-17,153.625
2010-04-18,148.8125
2010-04-19,167.0
2010-04-20,191.34375
2010-04-21,224.34375
2010-04-22,191.96875
2010-04-23,160.71875
2010-04-24,164.40625
2010-04-25,198.03125
2010-04-26,171.25
2010-04-27,151.84375
2010-04-28,195.0
2010-04-29,440.9375
2010-04-30,753.96875
2010-05-01,679.21875
2010-05-02,423.625
2010-05-03,446.75
2010-05-04,427.15625
2010-05-05,352.96875
2010-05-06,287.90625
2010-05-07,216.84375
2010-05-08,180.71875
2010-05-09,186.6875
2010-05-10,176.03125
2010-05-11,188.125
2010-05-12,237.1875
2010-05-13,195.03125
2010-05-14,161.8125
2010-05-15,155.78125
2010-05-16,186.34375
2010-05-17,234.09375
2010-05-18,186.34375
2010-05-19,171.4375
2010-05-20,166.40625
2010-05-21,155.90625
2010-05-22,184.71875
2010-05-23,234.03125
2010-05-24,193.5
2010-05-25,183.90625
2010-05-26,292.8125
2010-05-27,341.3125
2010-05-28,241.125
2010-05-29,188.3125
2010-05-30,171.875
2010-05-31,161.09375
2010-06-01,155.84375
2010-06-02,155.40625
2010-06-03,180.125
2010-06-04,318.875
2010-06-05,497.03125
2010-06-06,698.84375
2010-06-07,750.875
2010-06-08,597.09375
2010-06-09,496.15625
2010-06-10,433.4375
2010-06-11,504.25
2010-06-12,439.9375
2010-06-13,479.59375
2010-06-14,491.53125
2010-06-15,281.5625
2010-06-16,198.78125
2010-06-17,180.5
2010-06-18,179.46875
2010-06-19,176.14062
2010-06-20,176.64062
2010-06-21,229.20312
2010-06-22,236.1875
2010-06-23,276.67188
2010-06-24,217.15625
2010-06-25,164.51562
2010-06-26,152.3125
2010-06-27,149.625
2010-06-28,147.95312
2010-06-29,148.92188
2010-06-30,152.03125
2010-07-01,188.04688
2010-07-02,452.53125
2010-07-03,710.46875
2010-07-04,470.71875
2010-07-05,332.90625
2010-07-06,309.82812
2010-07-07,230.10938
2010-07-08,178.5625
2010-07-09,170.0625
2010-07-10,174.53125
2010-07-11,171.9375
2010-07-12,166.6875
2010-07-13,169.75
2010-07-14,195.59375
2010-07-15,261.3125
2010-07-16,385.6875
2010-07-17,392.15625
2010-07-18,350.9375
2010-07-19,236.8125
2010-07-20,215.57812
2010-07-21,208.67188
2010-07-22,214.64062
2010-07-23,224.29688
2010-07-24,328.03125
2010-07-25,925.9219
2010-07-26,1132.5312
2010-07-27,914.1406
2010-07-28,749.3125
2010-07-29,377.60938
2010-07-30,277.92188
2010-07-31,244.6875
2010-08-01,353.46875
2010-08-02,681.9844
2010-08-03,700.28125
2010-08-04,396.34375
2010-08-05,265.57812
2010-08-06,303.21875
2010-08-07,406.375
2010-08-08,398.20312
2010-08-09,465.75
2010-08-10,535.4531
2010-08-11,638.2656
2010-08-12,718.65625
2010-08-13,649.0781
2010-08-14,584.5469
2010-08-15,602.46875
2010-08-16,618.7656
2010-08-17,685.3125
2010-08-18,787.7031
2010-08-19,657.1406
2010-08-20,621.7344
2010-08-21,1682.5156
2010-08-22,1395.4062
2010-08-23,847.9219
2010-08-24,1816.3672
2010-08-25,1530.6719
2010-08-26,498.76562
2010-08-27,346.09375
2010-08-28,488.1328
2010-08-29,859.96875
2010-08-30,801.3203
2010-08-31,513.96875
2010-09-01,536.8047
2010-09-02,1099.9688
2010-09-03,1857.8438
2010-09-04,1569.2891
2010-09-05,973.16406
2010-09-06,753.15625
2010-09-07,617.22656
2010-09-08,380.17188
2010-09-09,296.625
2010-09-10,270.9922
2010-09-11,359.39062
2010-09-12,498.48438
2010-09-13,554.7656
2010-09-14,481.01562
2010-09-15,434.1797
2010-09-16,475.02344
2010-09-17,353.03906
2010-09-18,558.2969
2010-09-19,779.9453
2010-09-20,648.91406
2010-09-21,427.96875
2010-09-22,278.20312
2010-09-23,297.98438
2010-09-24,552.1172
2010-09-25,542.60156
2010-09-26,297.89844
2010-09-27,236.59375
2010-09-28,332.4375
2010-09-29,379.7578
2010-09-30,322.15625
2010-10-01,566.6328
2010-10-02,853.375
2010-10-03,1104.7266
2010-10-04,1487.3828
2010-10-05,1724.0391
2010-10-06,1341.2891
2010-10-07,959.5625
2010-10-08,1036.0312
2010-10-09,787.78906
2010-10-10,443.73438
2010-10-11,296.1797
2010-10-12,262.72656
2010-10-13,254.07031
2010-10-14,383.8047
2010-10-15,1234.7188
2010-10-16,2166.6562
2010-10-17,1490.1406
2010-10-18,607.64844
2010-10-19,715.0156
2010-10-20,945.64844
2010-10-21,778.96094
2010-10-22,369.4922
2010-10-23,249.07031
2010-10-24,216.08594
2010-10-25,198.78125
2010-10-26,231.125
2010-10-27,1147.3906
2010-10-28,3179.1328
2010-10-29,2617.539
2010-10-30,1460.2188
2010-10-31,1238.1641
2010-11-01,1489.5391
2010-11-02,2295.2734
2010-11-03,2236.3125
2010-11-04,1936.0781
2010-11-05,2734.3594
2010-11-06,3832.4922
2010-11-07,3405.6016
2010-11-08,2074.6797
2010-11-09,1512.2734
2010-11-10,1635.5938
2010-11-11,1436.375
2010-11-12,1118.2344
2010-11-13,1231.2969
2010-11-14,3983.8672
2010-11-15,7950.086
2010-11-16,6886.6094
2010-11-17,5523.172
2010-11-18,3400.3125
2010-11-19,1702.2266
2010-11-20,1038.3594
2010-11-21,561.71094
2010-11-22,358.23438
2010-11-23,283.70312
2010-11-24,249.84375
2010-11-25,220.27344
2010-11-26,218.03125
2010-11-27,241.66406
2010-11-28,239.55469
2010-11-29,538.3828
2010-11-30,1027.7031
2010-12-01,805.0625
2010-12-02,455.70312
2010-12-03,292.25
2010-12-04,258.26562
2010-12-05,347.875
2010-12-06,493.20312
2010-12-07,581.0469
2010-12-08,651.8047
2010-12-09,665.58594
2010-12-10,492.16406
2010-12-11,269.89844
2010-12-12,192.28125
2010-12-13,172.1875
2010-12-14,193.875
2010-12-15,457.09375
2010-12-16,653.2969
2010-12-17,380.84375
2010-12-18,370.40625
2010-12-19,260.45312
2010-12-20,199.09375
2010-12-21,182.76562
2010-12-22,175.9375
2010-12-23,171.40625
2010-12-24,167.78125
2010-12-25,165.4375
2010-12-26,223.09375
2010-12-27,771.4844
2010-12-28,954.6094
2010-12-29,385.20312
2010-12-30,243.5
2010-12-31,211.3125
2011-01-01,200.07812
2011-01-02,204.71875
2011-01-03,191.20312
2011-01-04,176.85938
2011-01-05,182.79688
2011-01-06,231.09375
2011-01-07,517.8594
2011-01-08,1168.8125
2011-01-09,1044.5312
2011-01-10,655.03125
2011-01-11,568.125
2011-01-12,417.35938
2011-01-13,341.39062
2011-01-14,245.0
2011-01-15,226.85938
2011-01-16,544.5781
2011-01-17,869.65625
2011-01-18,559.4219
2011-01-19,392.89062
2011-01-20,276.0625
2011-01-21,222.54688
2011-01-22,246.125
2011-01-23,318.04688
2011-01-24,505.79688
2011-01-25,1015.0469
2011-01-26,990.59375
2011-01-27,769.1406
2011-01-28,886.28125
2011-01-29,1149.2344
2011-01-30,1300.0156
2011-01-31,1300.9688
2011-02-01,1341.7344
2011-02-02,1042.8594
2011-02-03,701.9219
2011-02-04,474.89062
2011-02-05,301.96875
2011-02-06,231.71875
2011-02-07,205.625
2011-02-08,192.0
2011-02-09,183.0
2011-02-10,176.46875
2011-02-11,171.84375
2011-02-12,169.21875
2011-02-13,173.21875
2011-02-14,251.125
2011-02-15,397.875
2011-02-16,254.03125
2011-02-17,182.6875
2011-02-18,168.53125
2011-02-19,166.75
2011-02-20,173.34375
2011-02-21,209.90625
2011-02-22,191.875
2011-02-23,168.46875
2011-02-24,159.15625
2011-02-25,156.53125
2011-02-26,155.28125
2011-02-27,154.40625
2011-02-28,153.90625
2011-03-01,153.15625
2011-03-02,152.40625
2011-03-03,152.625
2011-03-04,155.25
2011-03-05,170.21875
2011-03-06,196.8125
2011-03-07,177.84375
2011-03-08,176.5625
2011-03-09,219.59375
2011-03-10,190.59375
2011-03-11,185.90625
2011-03-12,177.90625
2011-03-13,160.09375
2011-03-14,152.15625
2011-03-15,154.96875
2011-03-16,186.09375
2011-03-17,455.1875
2011-03-18,631.59375
2011-03-19,322.3125
2011-03-20,225.5625
2011-03-21,230.875
2011-03-22,255.09375
2011-03-23,537.0625
2011-03-24,1247.9375
2011-03-25,1466.875
2011-03-26,1414.0938
2011-03-27,1270.5
2011-03-28,1088.8125
2011-03-29,939.5625
2011-03-30,748.53125
