date,discharge_m3s
2010-01-01,198.71875
2010-01-02,191.04688
2010-01-03,186.03125
2010-01-04,182.20312
2010-01-05,178.82812
2010-01-06,175.51562
2010-01-07,173.28125
2010-01-08,172.90625
2010-01-09,172.6875
2010-01-10,170.26562
2010-01-11,168.64062
2010-01-12,243.73438
2010-01-13,800.96875
2010-01-14,1096.0781
2010-01-15,677.5781
2010-01-16,448.85938
2010-01-17,362.35938
2010-01-18,358.54688
2010-01-19,490.59375
2010-01-20,869.4844
2010-01-21,1212.6875
2010-01-22,991.8125
2010-01-23,618.0156
2010-01-24,578.5781
2010-01-25,404.85938
2010-01-26,337.07812
2010-01-27,422.95312
2010-01-28,383.51562
2010-01-29,267.14062
2010-01-30,213.21875
2010-01-31,197.9375
2010-02-01,190.42188
2010-02-02,184.75
2010-02-03,180.20312
2010-02-04,177.5
2010-02-05,182.15625
2010-02-06,182.125
2010-02-07,173.0625
2010-02-08,166.9375
2010-02-09,164.5625
2010-02-10,162.875
2010-02-11,161.3125
2010-02-12,160.1875
2010-02-13,161.25
2010-02-14,163.28125
2010-02-15,159.5625
2010-02-16,159.9375
2010-02-17,171.78125
2010-02-18,186.15625
2010-02-19,232.125
2010-02-20,269.6875
2010-02-21,218.5625
2010-02-22,179.71875
2010-02-23,191.53125
2010-02-24,270.9375
2010-02-25,218.09375
2010-02-26,182.84375
2010-02-27,172.5625
2010-02-28,161.625
2010-03-01,159.46875
2010-03-02,172.625
2010-03-03,172.9375
2010-03-04,159.40625
2010-03-05,153.78125
2010-03-06,152.1875
2010-03-07,151.3125
2010-03-08,151.0625
2010-03-09,172.125
2010-03-10,284.625
2010-03-11,447.78125
2010-03-12,319.75
2010-03-13,218.25
2010-03-14,176.53125
2010-03-15,169.8125
2010-03-16,173.375
2010-03-17,175.625
2010-03-18,183.75
2010-03-19,194.53125
2010-03-20,186.5625
2010-03-21,175.0
2010-03-22,171.125
2010-03-23,169.625
2010-03-24,168.5625
2010-03-25,169.5625
2010-03-26,186.1875
2010-03-27,237.1875
2010-03-28,224.1875
2010-03-29,242.15625
2010-03-30,260.28125
2010-03-31,210.9375
2010-04-01,180.40625
2010-04-02,210.03125
2010-04-03,279.8125
2010-04-04,267.40625
2010-04-05,203.46875
2010-04-06,170.75
2010-04-07,159.90625
2010-04-08,156.84375
2010-04-09,167.46875
2010-04-10,174.5625
2010-04-11,167.96875
2010-04-12,156.65625
2010-04-13,150.46875
2010-04-14,150.875
2010-04-15,173.5
2010-04-16,175.75
2010-04-17,161.0625
2010-04-18,155.5625
2010-04-19,172.15625
2010-04-20,196.25
2010-04-21,229.34375
2010-04-22,199.8125
2010-04-23,169.28125
2010-04-24,172.40625
2010-04-25,206.5
2010-04-26,181.625
2010-04-27,160.34375
2010-04-28,198.8125
2010-04-29,435.96875
2010-04-30,756.28125
2010-05-01,695.375
2010-05-02,435.96875
2010-05-03,452.59375
2010-05-04,436.6875
2010-05-05,362.375
2010-05-06,297.03125
2010-05-07,225.96875
2010-05-08,187.40625
2010-05-09,191.84375
2010-05-10,182.46875
2010-05-11,191.8125
2010-05-12,242.15625
2010-05-13,203.15625
2010-05-14,168.21875
2010-05-15,160.84375
2010-05-16,188.75
2010-05-17,238.46875
2010-05-18,193.53125
2010-05-19,176.03125
2010-05-20,171.5
2010-05-21,160.5
2010-05-22,186.40625
2010-05-23,237.375
2010-05-24,200.71875
2010-05-25,188.21875
2010-05-26,294.46875
2010-05-27,349.6875
2010-05-28,252.15625
2010-05-29,196.125
2010-05-30,178.5
2010-05-31,167.3125
2010-06-01,161.6875
2010-06-02,161.8125
2010-06-03,185.46875
2010-06-04,320.84375
2010-06-05,499.6875
2010-06-06,703.78125
