date,discharge_m3s
2010-01-01,167.10938
2010-01-02,163.375
2010-01-03,160.85938
2010-01-04,159.09375
2010-01-05,157.42188
2010-01-06,155.5
2010-01-07,154.39062
2010-01-08,154.53125
2010-01-09,154.67188
2010-01-10,152.78125
2010-01-11,152.28125
2010-01-12,285.54688
2010-01-13,951.6875
2010-01-14,952.25
2010-01-15,555.0625
2010-01-16,371.8125
2010-01-17,314.03125
2010-01-18,329.90625
2010-01-19,506.375
2010-01-20,913.78125
2010-01-21,1180.4219
2010-01-22,816.6094
2010-01-23,553.9375
2010-01-24,501.59375
2010-01-25,313.9375
2010-01-26,312.20312
2010-01-27,391.59375
2010-01-28,310.42188
2010-01-29,202.76562
2010-01-30,176.20312
2010-01-31,169.32812
2010-02-01,164.9375
2010-02-02,161.59375
2010-02-03,158.98438
2010-02-04,160.07812
2010-02-05,167.875
2010-02-06,163.26562
2010-02-07,154.4375
2010-02-08,151.75
2010-02-09,150.8125
2010-02-10,149.90625
2010-02-11,149.03125
2010-02-12,148.75
2010-02-13,152.0
2010-02-14,151.53125
2010-02-15,147.90625
2010-02-16,150.3125
2010-02-17,159.90625
2010-02-18,172.53125
2010-02-19,234.6875
2010-02-20,239.96875
2010-02-21,177.5
2010-02-22,156.4375
2010-02-23,208.4375
2010-02-24,260.28125
2010-02-25,178.34375
2010-02-26,167.78125
2010-02-27,155.375
2010-02-28,148.3125
2010-03-01,152.40625
2010-03-02,169.40625
2010-03-03,157.21875
2010-03-04,146.53125
2010-03-05,144.375
2010-03-06,143.65625
2010-03-07,143.125
2010-03-08,143.09375
2010-03-09,164.9375
2010-03-10,331.625
2010-03-11,403.03125
2010-03-12,252.65625
2010-03-13,174.21875
2010-03-14,153.71875
2010-03-15,154.0625
2010-03-16,155.59375
2010-03-17,157.4375
2010-03-18,168.96875
2010-03-19,174.9375
2010-03-20,160.09375
2010-03-21,152.75
2010-03-22,151.21875
2010-03-23,150.34375
2010-03-24,149.625
2010-03-25,148.25
2010-03-26,181.1875
2010-03-27,214.875
2010-03-28,186.4375
2010-03-29,226.28125
2010-03-30,223.03125
2010-03-31,168.3125
2010-04-01,161.34375
2010-04-02,221.84375
2010-04-03,277.09375
2010-04-04,230.40625
2010-04-05,167.125
2010-04-06,152.25
2010-04-07,144.25
2010-04-08,148.5
2010-04-09,161.875
2010-04-10,164.40625
2010-04-11,153.21875
2010-04-12,143.5
2010-04-13,140.375
2010-04-14,147.34375
2010-04-15,176.0625
2010-04-16,158.34375
2010-04-17,148.25
2010-04-18,148.59375
2010-04-19,176.1875
2010-04-20,201.59375
2010-04-21,223.65625
2010-04-22,172.59375
2010-04-23,150.28125
2010-04-24,172.0
2010-04-25,194.90625
2010-04-26,154.4375
2010-04-27,151.25
2010-04-28,233.6875
2010-04-29,539.78125
2010-04-30,787.65625
2010-05-01,603.46875
2010-05-02,400.4375
2010-05-03,457.25
2010-05-04,404.4375
2010-05-05,331.5
2010-05-06,264.4375
2010-05-07,193.53125
2010-05-08,176.25
2010-05-09,187.125
2010-05-10,167.8125
2010-05-11,207.75
2010-05-12,233.71875
2010-05-13,174.25
2010-05-14,153.96875
2010-05-15,157.40625
2010-05-16,208.96875
2010-05-17,227.28125
2010-05-18,168.5
2010-05-19,171.34375
2010-05-20,159.25
2010-05-21,155.34375
2010-05-22,206.5625
2010-05-23,232.1875
2010-05-24,171.65625
2010-05-25,202.375
2010-05-26,329.28125
2010-05-27,319.03125
2010-05-28,208.5625
2010-05-29,177.25
2010-05-30,165.5625
2010-05-31,155.84375
2010-06-01,153.1875
2010-06-02,152.9375
2010-06-03,205.5
2010-06-04,365.90625
2010-06-05,546.125
2010-06-06,731.46875
2010-06-07,723.84375
2010-06-08,561.3125
2010-06-09,462.3125
2010-06-10,447.1875
2010-06-11,495.3125
2010-06-12,425.6875
2010-06-13,512.03125
2010-06-14,438.6875
2010-06-15,232.9375
2010-06-16,184.3125
2010-06-17,177.15625
2010-06-18,178.17188
2010-06-19,171.85938
2010-06-20,185.0625
2010-06-21,243.01562
2010-06-22,239.34375
2010-06-23,276.79688
2010-06-24,186.04688
2010-06-25,153.79688
2010-06-26,149.125
2010-06-27,147.20312
2010-06-28,145.875
2010-06-29,148.26562
2010-06-30,152.875
2010-07-01,221.34375
2010-07-02,573.71875
2010-07-03,674.9531
2010-07-04,413.78125
2010-07-05,315.35938
2010-07-06,294.14062
2010-07-07,199.90625
2010-07-08,168.57812
2010-07-09,169.75
2010-07-10,174.39062
2010-07-11,167.54688
2010-07-12,164.40625
2010-07-13,173.26562
2010-07-14,208.34375
2010-07-15,297.45312
2010-07-16,399.32812
2010-07-17,387.65625
2010-07-18,315.875
2010-07-19,210.21875
2010-07-20,215.92188
2010-07-21,201.75
2010-07-22,219.92188
2010-07-23,220.6875
2010-07-24,424.39062
2010-07-25,1044.5469
2010-07-26,1072.125
2010-07-27,904.5156
2010-07-28,644.6719
2010-07-29,316.23438
2010-07-30,258.85938
2010-07-31,242.21875
2010-08-01,426.96875
2010-08-02,743.8594
2010-08-03,629.84375
2010-08-04,330.92188
2010-08-05,245.14062
2010-08-06,336.34375
2010-08-07,397.625
2010-08-08,398.10938
2010-08-09,477.39062
2010-08-10,530.5625
2010-08-11,664.1875
2010-08-12,701.4844
2010-08-13,615.4219
2010-08-14,576.2656
2010-08-15,601.65625
2010-08-16,622.6719
2010-08-17,700.8125
2010-08-18,796.1875
2010-08-19,569.1719
2010-08-20,692.3594
2010-08-21,1851.5781
2010-08-22,1125.2812
2010-08-23,874.10156
2010-08-24,1975.7734
2010-08-25,1231.8359
2010-08-26,401.65625
2010-08-27,330.76562
2010-08-28,548.8047
2010-08-29,884.35156
2010-08-30,695.4531
2010-08-31,459.77344
2010-09-01,566.03906
2010-09-02,1234.8359
2010-09-03,1913.8438
2010-09-04,1415.3594
2010-09-05,894.1094
2010-09-06,732.375
2010-09-07,550.2031
2010-09-08,335.09375
2010-09-09,279.78906
2010-09-10,272.9922
2010-09-11,401.14062
2010-09-12,521.90625
2010-09-13,547.72656
2010-09-14,446.97656
2010-09-15,452.51562
2010-09-16,440.32812
2010-09-17,352.3672
2010-09-18,641.1719
2010-09-19,770.41406
2010-09-20,598.02344
2010-09-21,369.85938
2010-09-22,249.94531
2010-09-23,347.1172
2010-09-24,604.9922
2010-09-25,476.625
2010-09-26,245.17188
2010-09-27,247.10156
2010-09-28,362.82812
2010-09-29,353.48438
2010-09-30,325.1172
2010-10-01,624.7422
2010-10-02,862.7344
2010-10-03,1137.8594
2010-10-04,1538.8203
2010-10-05,1707.2109
2010-10-06,1191.8516
2010-10-07,975.39844
2010-10-08,1014.4375
2010-10-09,690.71875
2010-10-10,381.39844
2010-10-11,268.875
2010-10-12,251.9375
2010-10-13,253.89844
2010-10-14,434.7422
2010-10-15,1436.7344
2010-10-16,2184.0
2010-10-17,1210.8047
2010-10-18,546.1719
2010-10-19,762.08594
2010-10-20,955.41406
2010-10-21,666.22656
2010-10-22,298.66406
2010-10-23,228.39062
2010-10-24,205.28906
2010-10-25,190.83594
2010-10-26,252.0625
2010-10-27,1433.1719
2010-10-28,3359.086
2010-10-29,2298.4844
2010-10-30,1371.8438
2010-10-31,1217.3828
2010-11-01,1541.3047
2010-11-02,2370.2656
2010-11-03,2098.0547
2010-11-04,1880.7109
2010-11-05,2806.6328
2010-11-06,3769.75
2010-11-07,3161.9844
2010-11-08,1807.2812
2010-11-09,1519.1719
2010-11-10,1578.5234
2010-11-11,1344.3672
2010-11-12,1013.5156
2010-11-13,1238.6172
2010-11-14,4294.9297
2010-11-15,8080.7734
2010-11-16,6406.461
2010-11-17,5372.3203
2010-11-18,2967.7188
2010-11-19,1550.8281
2010-11-20,900.7969
2010-11-21,480.92188
2010-11-22,316.14844
2010-11-23,264.5
2010-11-24,236.07812
2010-11-25,210.85938
2010-11-26,224.32812
2010-11-27,237.96094
2010-11-28,243.72656
2010-11-29,685.3594
2010-11-30,1028.6562
2010-12-01,709.6094
2010-12-02,390.01562
2010-12-03,262.78906
2010-12-04,267.3203
2010-12-05,380.6328
2010-12-06,514.5703
2010-12-07,585.64844
2010-12-08,667.3047
2010-12-09,644.14844
2010-12-10,426.0625
2010-12-11,226.79688
2010-12-12,182.65625
2010-12-13,170.54688
2010-12-14,215.84375
2010-12-15,574.125
2010-12-16,575.59375
2010-12-17,345.01562
2010-12-18,346.8125
2010-12-19,222.03125
2010-12-20,185.4375
2010-12-21,176.23438
2010-12-22,170.82812
2010-12-23,166.9375
2010-12-24,163.6875
2010-12-25,161.64062
2010-12-26,278.29688
2010-12-27,948.0625
2010-12-28,811.09375
2010-12-29,299.625
2010-12-30,221.76562
2010-12-31,201.09375
2011-01-01,196.76562
2011-01-02,201.26562
2011-01-03,180.60938
2011-01-04,170.42188
2011-01-05,189.28125
2011-01-06,242.92188
2011-01-07,659.3125
2011-01-08,1208.6875
2011-01-09,924.5
2011-01-10,618.3594
2011-01-11,523.7969
2011-01-12,384.64062
2011-01-13,309.125
2011-01-14,216.35938
2011-01-15,235.32812
2011-01-16,684.5
2011-01-17,803.0
2011-01-18,488.98438
2011-01-19,338.25
2011-01-20,238.01562
2011-01-21,208.1875
2011-01-22,251.96875
2011-01-23,312.85938
2011-01-24,578.3281
2011-01-25,1053.875
2011-01-26,886.9844
2011-01-27,760.78125
2011-01-28,895.7344
2011-01-29,1211.0781
2011-01-30,1253.9219
2011-01-31,1318.2656
2011-02-01,1288.9531
2011-02-02,946.6875
2011-02-03,628.375
2011-02-04,412.71875
2011-02-05,261.65625
2011-02-06,214.75
2011-02-07,196.03125
2011-02-08,184.96875
2011-02-09,177.28125
2011-02-10,171.625
2011-02-11,167.59375
2011-02-12,165.78125
2011-02-13,174.125
2011-02-14,308.625
2011-02-15,376.6875
2011-02-16,208.09375
2011-02-17,169.46875
2011-02-18,164.25
2011-02-19,163.625
2011-02-20,181.96875
2011-02-21,211.875
2011-02-22,177.46875
2011-02-23,160.375
2011-02-24,155.125
2011-02-25,153.6875
2011-02-26,152.625
2011-02-27,151.875
2011-02-28,151.4375
2011-03-01,150.6875
2011-03-02,150.03125
2011-03-03,150.21875
2011-03-04,153.96875
2011-03-05,177.0
2011-03-06,194.8125
2011-03-07,162.65625
2011-03-08,185.0
2011-03-09,216.15625
2011-03-10,176.53125
2011-03-11,185.09375
2011-03-12,167.5
2011-03-13,152.59375
2011-03-14,148.46875
2011-03-15,152.46875
2011-03-16,206.75
2011-03-17,560.0625
2011-03-18,553.75
2011-03-19,255.1875
2011-03-20,210.78125
2011-03-21,230.0
2011-03-22,259.25
2011-03-23,653.28125
2011-03-24,1300.5
