date,discharge_m3s
01/01/2010,166.17188
02/01/2010,162.64062
03/01/2010,160.23438
04/01/2010,158.54688
05/01/2010,156.84375
06/01/2010,154.95312
07/01/2010,153.92188
08/01/2010,154.20312
09/01/2010,154.15625
10/01/2010,152.21875
11/01/2010,151.875
12/01/2010,303.39062
13/01/2010,989.71875
14/01/2010,924.1094
15/01/2010,537
16/01/2010,363.85938
17/01/2010,310.875
18/01/2010,331.82812
19/01/2010,520.46875
20/01/2010,933.3594
21/01/2010,1181.5938
22/01/2010,784.96875
23/01/2010,553.53125
24/01/2010,489.42188
25/01/2010,302.8125
26/01/2010,318.46875
27/01/2010,390.125
28/01/2010,300.09375
29/01/2010,196.78125
30/01/2010,174.625
31/01/2010,168.375
01/02/2010,164.14062
02/02/2010,160.89062
03/02/2010,158.375
04/02/2010,160.26562
05/02/2010,167.875
06/02/2010,162.03125
07/02/2010,153.5
08/02/2010,151.28125
09/02/2010,150.375
10/02/2010,149.5
11/02/2010,148.625
12/02/2010,148.40625
13/02/2010,152.21875
14/02/2010,150.6875
15/02/2010,147.40625
16/02/2010,150.53125
17/02/2010,159.78125
18/02/2010,174.34375
19/02/2010,239.3125
20/02/2010,235.25
21/02/2010,172.90625
22/02/2010,155.5
23/02/2010,217.84375
24/02/2010,255.4375
25/02/2010,173.71875
26/02/2010,167.15625
27/02/2010,153.75
28/02/2010,147.71875
01/03/2010,153.34375
02/03/2010,169.84375
03/03/2010,155.1875
04/03/2010,145.71875
05/03/2010,144
06/03/2010,143.3125
07/03/2010,142.78125
08/03/2010,142.8125
09/03/2010,167.09375
10/03/2010,348.9375
11/03/2010,392.3125
12/03/2010,242.875
13/03/2010,169.34375
14/03/2010,152.375
15/03/2010,153.3125
16/03/2010,154.4375
17/03/2010,156.78125
18/03/2010,169.125
19/03/2010,173.34375
20/03/2010,157.625
21/03/2010,151.375
22/03/2010,150.0625
23/03/2010,149.25
24/03/2010,148.53125
25/03/2010,147.53125
26/03/2010,185.9375
27/03/2010,212.1875
28/03/2010,185.21875
29/03/2010,228.6875
30/03/2010,218.28125
31/03/2010,164.28125
01/04/2010,162.6875
02/04/2010,228.65625
03/04/2010,277.28125
04/04/2010,224.1875
05/04/2010,163.09375
06/04/2010,151.125
07/04/2010,143.40625
08/04/2010,149.4375
09/04/2010,162.46875
10/04/2010,163.625
11/04/2010,151.78125
12/04/2010,142.59375
13/04/2010,139.96875
14/04/2010,149.03125
15/04/2010,177.03125
16/04/2010,155.9375
17/04/2010,147.3125
18/04/2010,149.46875
19/04/2010,178.28125
20/04/2010,205
21/04/2010,221.3125
22/04/2010,168.34375
23/04/2010,148.6875
24/04/2010,175.6875
25/04/2010,192.34375
26/04/2010,151.15625
27/04/2010,152.59375
28/04/2010,245.625
29/04/2010,562.875
30/04/2010,792.96875
01/05/2010,581.6875
02/05/2010,399.6875
03/05/2010,458.84375
04/05/2010,398.40625
05/05/2010,326.5
06/05/2010,258.4375
07/05/2010,188.84375
08/05/2010,176.53125
09/05/2010,186.4375
10/05/2010,166.40625
11/05/2010,214.1875
12/05/2010,229.90625
13/05/2010,170.03125
14/05/2010,152.8125
15/05/2010,158.6875
16/05/2010,215.53125
17/05/2010,222.34375
18/05/2010,165.90625
19/05/2010,171.4375
20/05/2010,157.40625
21/05/2010,156.375
22/05/2010,212.65625
23/05/2010,228.90625
24/05/2010,167.3125
25/05/2010,210
26/05/2010,336.5625
27/05/2010,310.59375
28/05/2010,202.3125
29/05/2010,175.46875
30/05/2010,164.28125
31/05/2010,154.9375
01/06/2010,152.71875
02/06/2010,152.71875
03/06/2010,214.46875
04/06/2010,375.71875
05/06/2010,558.03125
06/06/2010,738.21875
07/06/2010,714.9375
08/06/2010,553.84375
09/06/2010,453.40625
10/06/2010,453.96875
11/06/2010,490.46875
12/06/2010,423.59375
13/06/2010,521.21875
14/06/2010,421.375
15/06/2010,223.71875
16/06/2010,182.15625
17/06/2010,176.8125
18/06/2010,177.85938
19/06/2010,170.84375
20/06/2010,189.04688
21/06/2010,244.10938
22/06/2010,242.40625
23/06/2010,273.54688
24/06/2010,179.32812
25/06/2010,152.32812
26/06/2010,148.625
27/06/2010,146.76562
28/06/2010,145.5625
29/06/2010,148.28125
30/06/2010,153.57812
01/07/2010,232.14062
02/07/2010,603.2344
03/07/2010,659.9531
04/07/2010,401.15625
05/07/2010,313.73438
06/07/2010,288.4375
07/07/2010,193.625
08/07/2010,167.3125
09/07/2010,170.03125
10/07/2010,174.21875
11/07/2010,166.5625
12/07/2010,164.09375
13/07/2010,174.84375
14/07/2010,211.67188
15/07/2010,307.75
16/07/2010,399.75
17/07/2010,387.1875
18/07/2010,305.34375
19/07/2010,206.53125
20/07/2010,215.79688
21/07/2010,200.64062
22/07/2010,221.3125
23/07/2010,219.70312
24/07/2010,452.95312
25/07/2010,1067.9219
26/07/2010,1055.4219
27/07/2010,904.0469
28/07/2010,615.7031
29/07/2010,305.79688
30/07/2010,254.82812
31/07/2010,243.51562
01/08/2010,447.23438
02/08/2010,755.9219
03/08/2010,608.4531
04/08/2010,317.21875
05/08/2010,242.85938
06/08/2010,345.96875
07/08/2010,392.25
08/08/2010,399.0625
09/08/2010,480.57812
10/08/2010,529.2031
11/08/2010,670.90625
12/08/2010,696.9219
13/08/2010,607.3594
14/08/2010,575.6875
15/08/2010,601.5781
16/08/2010,624.125
17/08/2010,704.875
18/08/2010,797.3594
19/08/2010,544.6406
20/08/2010,717.3125
21/08/2010,1891.9219
22/08/2010,1058.3281
23/08/2010,889.39844
24/08/2010,2015.9375
25/08/2010,1155.3281
26/08/2010,385.03906
27/08/2010,329.48438
28/08/2010,566.08594
29/08/2010,890.5547
30/08/2010,669.53125
31/08/2010,449.71875
01/09/2010,576.3828
02/09/2010,1268.3125
03/09/2010,1926.3359
04/09/2010,1377.0703
05/09/2010,876.5625
06/09/2010,729.625
07/09/2010,531.6172
08/09/2010,326.70312
09/09/2010,276.39844
10/09/2010,275.53906
11/09/2010,411.45312
12/09/2010,526.4844
13/09/2010,544.91406
14/09/2010,438.5
15/09/2010,460.0703
16/09/2010,427.21094
17/09/2010,357.77344
18/09/2010,661.6328
19/09/2010,765.0781
20/09/2010,584.6094
21/09/2010,356.09375
22/09/2010,245.60938
23/09/2010,363.0078
24/09/2010,614.0781
25/09/2010,456.6875
26/09/2010,235.40625
27/09/2010,253.13281
28/09/2010,369.73438
29/09/2010,344.125
30/09/2010,332.1172
01/10/2010,639.77344
02/10/2010,866.3203
03/10/2010,1148.5312
04/10/2010,1553.875
05/10/2010,1704.3984
06/10/2010,1153.7891
07/10/2010,984.84375
08/10/2010,1008.8594
09/10/2010,665.21094
10/10/2010,368.21875
11/10/2010,264.75
12/10/2010,249.60156
13/10/2010,255.76562
14/10/2010,450.3672
15/10/2010,1488.8438
16/10/2010,2190
17/10/2010,1140.4531
18/10/2010,540.7422
19/10/2010,776.1328
20/10/2010,957.96094
21/10/2010,635.03906
22/10/2010,285.78125
23/10/2010,224.96094
24/10/2010,203.21875
25/10/2010,189.29688
26/10/2010,259.95312
27/10/2010,1505.8281
28/10/2010,3404.9531
29/10/2010,2222.8594
30/10/2010,1354.375
31/10/2010,1214.0938
01/11/2010,1557.5
02/11/2010,2393.8906
03/11/2010,2069.3125
04/11/2010,1874.0234
05/11/2010,2835.3906
06/11/2010,3770.1562
07/11/2010,3117.0078
08/11/2010,1748.7734
09/11/2010,1528.2266
10/11/2010,1568.4062
11/11/2010,1327.6797
12/11/2010,992.8828
13/11/2010,1251.7266
14/11/2010,4387.047
15/11/2010,8129.164
16/11/2010,6305.039
17/11/2010,5346.6953
