date,discharge_m3s
2010-01-01,94.078125
2010-01-02,92.6875
2010-01-03,91.71875
2010-01-04,91.15625
2010-01-05,90.328125
2010-01-06,89.375
2010-01-07,88.890625
2010-01-08,89.6875
2010-01-09,89.234375
2010-01-10,87.890625
2010-01-11,87.640625
2010-01-12,178.95312
2010-01-13,511.48438
2010-01-14,357.4375
2010-01-15,204.79688
2010-01-16,160.21875
2010-01-17,138.90625
2010-01-18,143.59375
2010-01-19,187.17188
2010-01-20,307.48438
2010-01-21,507.85938
2010-01-22,343.92188
2010-01-23,338.6875
2010-01-24,255.0625
2010-01-25,142.45312
2010-01-26,178.98438
2010-01-27,187.90625
2010-01-28,132.96875
2010-01-29,100.65625
2010-01-30,96.609375
2010-01-31,94.515625
2010-02-01,92.890625
2010-02-02,91.59375
2010-02-03,90.59375
2010-02-04,95.71875
2010-02-05,100.75
2010-02-06,94.25
2010-02-07,88.46875
2010-02-08,87.65625
2010-02-09,87.25
2010-02-10,86.84375
2010-02-11,86.40625
2010-02-12,86.21875
2010-02-13,89.375
2010-02-14,86.875
2010-02-15,85.65625
2010-02-16,90.65625
2010-02-17,93.8125
2010-02-18,94.1875
2010-02-19,112.9375
2010-02-20,105.75
2010-02-21,87.53125
2010-02-22,91.375
2010-02-23,176.90625
2010-02-24,151.5625
2010-02-25,92.5625
2010-02-26,88.09375
2010-02-27,87.03125
2010-02-28,86.375
2010-03-01,89.3125
2010-03-02,93.03125
2010-03-03,87.0625
2010-03-04,84.59375
2010-03-05,84.15625
2010-03-06,83.8125
2010-03-07,83.5
2010-03-08,83.53125
2010-03-09,103.65625
2010-03-10,238.8125
2010-03-11,178.09375
2010-03-12,102.28125
2010-03-13,88.8125
2010-03-14,86.53125
2010-03-15,86.3125
2010-03-16,85.78125
2010-03-17,85.84375
2010-03-18,88.1875
2010-03-19,87.46875
2010-03-20,84.5625
2010-03-21,84.0625
2010-03-22,83.75
2010-03-23,83.375
2010-03-24,83.0625
2010-03-25,82.78125
2010-03-26,94.8125
2010-03-27,89.90625
2010-03-28,90.53125
2010-03-29,100.53125
2010-03-30,89.75
2010-03-31,83.0
2010-04-01,93.1875
2010-04-02,139.28125
2010-04-03,157.90625
2010-04-04,114.25
2010-04-05,89.96875
2010-04-06,88.40625
2010-04-07,82.71875
2010-04-08,94.53125
2010-04-09,105.46875
2010-04-10,102.15625
2010-04-11,87.9375
2010-04-12,81.625
2010-04-13,81.09375
2010-04-14,86.6875
2010-04-15,92.21875
2010-04-16,87.34375
2010-04-17,86.0625
2010-04-18,88.03125
2010-04-19,99.0
2010-04-20,128.21875
2010-04-21,119.65625
2010-04-22,86.28125
2010-04-23,82.375
2010-04-24,103.78125
2010-04-25,95.96875
2010-04-26,82.25
2010-04-27,99.5
2010-04-28,202.15625
2010-04-29,438.59375
2010-04-30,486.53125
2010-05-01,284.375
2010-05-02,235.15625
2010-05-03,299.9375
2010-05-04,262.6875
2010-05-05,187.6875
2010-05-06,126.65625
2010-05-07,102.375
2010-05-08,111.09375
2010-05-09,113.3125
2010-05-10,95.96875
2010-05-11,137.75
2010-05-12,123.71875
2010-05-13,94.9375
2010-05-14,90.59375
2010-05-15,103.75
2010-05-16,171.75
2010-05-17,141.5625
2010-05-18,102.8125
2010-05-19,105.3125
2010-05-20,90.34375
2010-05-21,87.34375
2010-05-22,125.40625
2010-05-23,123.90625
2010-05-24,91.21875
2010-05-25,129.53125
2010-05-26,153.09375
2010-05-27,118.25
2010-05-28,93.09375
2010-05-29,87.15625
2010-05-30,83.8125
2010-05-31,82.6875
2010-06-01,82.125
2010-06-02,82.53125
2010-06-03,105.03125
2010-06-04,154.4375
2010-06-05,352.6875
2010-06-06,451.65625
2010-06-07,344.59375
2010-06-08,226.75
2010-06-09,163.5625
2010-06-10,155.5625
2010-06-11,175.4375
2010-06-12,182.5625
2010-06-13,331.0625
2010-06-14,215.875
2010-06-15,114.34375
2010-06-16,99.6875
2010-06-17,96.5625
2010-06-18,97.953125
2010-06-19,95.125
2010-06-20,111.671875
2010-06-21,125.125
2010-06-22,141.96875
2010-06-23,135.57812
2010-06-24,92.046875
2010-06-25,86.390625
2010-06-26,85.03125
2010-06-27,84.6875
2010-06-28,84.125
2010-06-29,85.09375
2010-06-30,87.890625
2010-07-01,159.10938
2010-07-02,418.76562
2010-07-03,279.53125
2010-07-04,141.14062
2010-07-05,142.10938
2010-07-06,131.71875
2010-07-07,97.53125
2010-07-08,91.34375
2010-07-09,91.40625
2010-07-10,92.9375
2010-07-11,88.703125
2010-07-12,86.640625
2010-07-13,95.46875
2010-07-14,127.828125
2010-07-15,215.07812
2010-07-16,229.01562
2010-07-17,239.09375
2010-07-18,163.76562
2010-07-19,100.28125
2010-07-20,103.890625
2010-07-21,119.421875
2010-07-22,131.70312
2010-07-23,108.984375
2010-07-24,147.65625
2010-07-25,395.21875
2010-07-26,470.23438
2010-07-27,480.48438
2010-07-28,260.40625
2010-07-29,131.85938
2010-07-30,111.953125
2010-07-31,119.5
2010-08-01,261.76562
2010-08-02,400.5
2010-08-03,245.39062
2010-08-04,123.890625
2010-08-05,120.609375
2010-08-06,211.1875
2010-08-07,210.4375
2010-08-08,240.98438
2010-08-09,299.875
2010-08-10,222.09375
2010-08-11,224.96875
2010-08-12,195.0625
2010-08-13,224.26562
2010-08-14,312.07812
2010-08-15,391.84375
2010-08-16,368.03125
2010-08-17,279.85938
2010-08-18,316.6875
2010-08-19,216.5625
2010-08-20,465.15625
2010-08-21,1319.3594
2010-08-22,532.0
2010-08-23,598.0625
2010-08-24,1423.5234
2010-08-25,561.0
2010-08-26,206.75
2010-08-27,168.67188
2010-08-28,228.53906
2010-08-29,309.6172
2010-08-30,188.6875
2010-08-31,163.8125
2010-09-01,300.76562
2010-09-02,794.75
2010-09-03,1146.75
2010-09-04,682.4922
2010-09-05,429.15625
2010-09-06,383.32812
2010-09-07,242.0
2010-09-08,147.79688
2010-09-09,130.38281
2010-09-10,124.25
2010-09-11,199.76562
2010-09-12,208.02344
2010-09-13,215.27344
2010-09-14,200.86719
2010-09-15,281.23438
2010-09-16,215.88281
2010-09-17,203.36719
2010-09-18,326.54688
2010-09-19,320.1328
2010-09-20,275.82812
2010-09-21,170.34375
2010-09-22,115.296875
2010-09-23,175.66406
2010-09-24,322.84375
2010-09-25,214.85156
2010-09-26,120.36719
2010-09-27,155.01562
2010-09-28,180.25
2010-09-29,141.51562
2010-09-30,164.10938
2010-10-01,303.10938
2010-10-02,474.4453
2010-10-03,743.8203
2010-10-04,955.0781
2010-10-05,857.8906
2010-10-06,523.625
2010-10-07,487.98438
2010-10-08,464.89844
2010-10-09,282.10156
2010-10-10,167.70312
2010-10-11,151.32031
2010-10-12,145.57031
2010-10-13,147.375
2010-10-14,276.8125
2010-10-15,992.2344
2010-10-16,1430.25
2010-10-17,558.33594
2010-10-18,256.8125
2010-10-19,442.10938
2010-10-20,543.46875
