date,discharge_m3s
2010-01-01,17.609375
2010-01-02,16.25
2010-01-03,15.140625
2010-01-04,14.28125
2010-01-05,13.359375
2010-01-06,12.46875
2010-01-07,11.90625
2010-01-08,11.6875
2010-01-09,11.203125
2010-01-10,10.59375
2010-01-11,10.421875
2010-01-12,14.890625
2010-01-13,20.171875
2010-01-14,21.953125
2010-01-15,21.40625
2010-01-16,20.5625
2010-01-17,19.765625
2010-01-18,20.109375
2010-01-19,21.578125
2010-01-20,23.75
2010-01-21,25.21875
2010-01-22,24.75
2010-01-23,24.078125
2010-01-24,23.078125
2010-01-25,22.328125
2010-01-26,22.953125
2010-01-27,22.6875
2010-01-28,21.03125
2010-01-29,19.203125
2010-01-30,17.671875
2010-01-31,16.296875
2010-02-01,15.0625
2010-02-02,13.953125
2010-02-03,12.96875
2010-02-04,12.15625
2010-02-05,11.390625
2010-02-06,10.671875
2010-02-07,10.03125
2010-02-08,9.59375
2010-02-09,9.15625
2010-02-10,8.71875
2010-02-11,8.25
2010-02-12,8.09375
2010-02-13,8.4375
2010-02-14,8.46875
2010-02-15,8.125
2010-02-16,8.71875
2010-02-17,10.25
2010-02-18,11.8125
2010-02-19,12.5
2010-02-20,11.96875
2010-02-21,10.96875
2010-02-22,10.28125
2010-02-23,9.8125
2010-02-24,9.34375
2010-02-25,8.90625
2010-02-26,8.5
2010-02-27,8.0625
2010-02-28,7.96875
2010-03-01,8.78125
2010-03-02,9.5
2010-03-03,9.28125
2010-03-04,8.6875
2010-03-05,8.1875
2010-03-06,7.71875
2010-03-07,7.3125
2010-03-08,7.03125
2010-03-09,10.28125
2010-03-10,13.34375
2010-03-11,13.25
2010-03-12,11.9375
2010-03-13,10.78125
2010-03-14,9.90625
2010-03-15,9.3125
2010-03-16,9.0625
2010-03-17,9.34375
2010-03-18,9.625
2010-03-19,9.5625
2010-03-20,9.15625
2010-03-21,8.71875
2010-03-22,8.34375
2010-03-23,8.0625
2010-03-24,7.8125
2010-03-25,9.1875
2010-03-26,10.84375
2010-03-27,12.4375
2010-03-28,14.40625
2010-03-29,15.03125
2010-03-30,14.0625
2010-03-31,12.6875
2010-04-01,11.5625
2010-04-02,10.84375
2010-04-03,10.46875
2010-04-04,9.9375
2010-04-05,9.3125
2010-04-06,8.75
2010-04-07,8.25
2010-04-08,7.875
2010-04-09,7.5625
2010-04-10,7.21875
2010-04-11,6.90625
2010-04-12,6.59375
2010-04-13,6.375
2010-04-14,6.25
2010-04-15,6.40625
2010-04-16,6.65625
2010-04-17,6.71875
2010-04-18,6.59375
2010-04-19,6.46875
2010-04-20,6.5625
2010-04-21,6.625
2010-04-22,6.5
2010-04-23,7.21875
2010-04-24,7.875
2010-04-25,7.6875
2010-04-26,7.40625
2010-04-27,7.5625
2010-04-28,8.0625
2010-04-29,9.03125
2010-04-30,9.71875
2010-05-01,9.65625
2010-05-02,9.34375
2010-05-03,8.96875
2010-05-04,8.59375
2010-05-05,8.25
2010-05-06,7.875
2010-05-07,7.53125
2010-05-08,7.21875
2010-05-09,6.875
2010-05-10,7.1875
2010-05-11,7.90625
2010-05-12,8.09375
2010-05-13,7.65625
2010-05-14,7.34375
2010-05-15,7.59375
2010-05-16,7.84375
2010-05-17,7.625
2010-05-18,7.28125
2010-05-19,7.09375
2010-05-20,6.84375
2010-05-21,6.875
2010-05-22,7.0
2010-05-23,7.34375
2010-05-24,9.40625
2010-05-25,11.9375
2010-05-26,12.5625
2010-05-27,11.71875
2010-05-28,10.625
2010-05-29,9.78125
2010-05-30,9.28125
2010-05-31,9.0
2010-06-01,8.75
2010-06-02,10.375
2010-06-03,12.25
2010-06-04,13.03125
2010-06-05,14.09375
2010-06-06,16.71875
2010-06-07,19.0625
2010-06-08,19.5
2010-06-09,20.9375
2010-06-10,21.53125
2010-06-11,20.34375
2010-06-12,18.875
2010-06-13,17.96875
2010-06-14,17.21875
2010-06-15,16.46875
2010-06-16,15.75
2010-06-17,14.84375
2010-06-18,13.765625
2010-06-19,12.78125
2010-06-20,12.03125
2010-06-21,11.40625
2010-06-22,11.125
2010-06-23,10.703125
2010-06-24,10.0625
2010-06-25,9.515625
2010-06-26,9.359375
2010-06-27,9.515625
2010-06-28,9.4375
2010-06-29,9.390625
2010-06-30,9.453125
2010-07-01,10.3125
2010-07-02,11.609375
2010-07-03,11.90625
2010-07-04,11.234375
2010-07-05,10.546875
2010-07-06,10.015625
2010-07-07,9.6875
2010-07-08,9.4375
2010-07-09,9.0625
2010-07-10,8.765625
2010-07-11,8.484375
2010-07-12,8.640625
2010-07-13,8.984375
2010-07-14,9.296875
2010-07-15,9.9375
2010-07-16,11.421875
2010-07-17,11.828125
2010-07-18,11.015625
2010-07-19,10.328125
2010-07-20,10.15625
2010-07-21,11.1875
2010-07-22,12.234375
2010-07-23,12.796875
2010-07-24,14.09375
2010-07-25,16.65625
2010-07-26,21.59375
2010-07-27,22.796875
2010-07-28,21.671875
2010-07-29,20.140625
2010-07-30,18.78125
2010-07-31,18.0625
2010-08-01,19.203125
2010-08-02,21.296875
2010-08-03,21.5
2010-08-04,20.84375
2010-08-05,21.484375
2010-08-06,22.453125
2010-08-07,22.796875
2010-08-08,24.609375
2010-08-09,28.21875
2010-08-10,31.671875
2010-08-11,33.640625
2010-08-12,34.03125
2010-08-13,33.484375
2010-08-14,32.265625
2010-08-15,31.546875
2010-08-16,31.375
2010-08-17,31.625
2010-08-18,31.34375
2010-08-19,29.8125
2010-08-20,39.59375
2010-08-21,45.78125
2010-08-22,43.078125
2010-08-23,60.601562
2010-08-24,62.171875
2010-08-25,52.382812
2010-08-26,45.453125
2010-08-27,42.039062
2010-08-28,48.851562
2010-08-29,52.859375
2010-08-30,50.4375
2010-08-31,49.507812
2010-09-01,51.664062
2010-09-02,52.640625
2010-09-03,51.992188
2010-09-04,48.507812
2010-09-05,45.367188
2010-09-06,42.742188
2010-09-07,39.796875
2010-09-08,37.179688
2010-09-09,34.875
2010-09-10,32.835938
2010-09-11,32.539062
2010-09-12,32.359375
2010-09-13,31.273438
2010-09-14,29.421875
2010-09-15,27.632812
2010-09-16,26.398438
2010-09-17,26.8125
2010-09-18,26.890625
2010-09-19,25.148438
2010-09-20,23.8125
2010-09-21,22.734375
2010-09-22,21.820312
2010-09-23,21.710938
2010-09-24,21.875
2010-09-25,20.632812
2010-09-26,19.695312
2010-09-27,19.773438
2010-09-28,19.484375
2010-09-29,19.335938
2010-09-30,21.132812
2010-10-01,24.625
2010-10-02,28.234375
2010-10-03,32.109375
2010-10-04,34.601562
2010-10-05,35.054688
2010-10-06,34.367188
2010-10-07,33.0625
2010-10-08,30.757812
2010-10-09,27.984375
2010-10-10,25.429688
2010-10-11,23.65625
2010-10-12,22.78125
2010-10-13,22.390625
2010-10-14,25.757812
2010-10-15,31.375
2010-10-16,34.007812
2010-10-17,33.070312
2010-10-18,32.5625
2010-10-19,33.171875
2010-10-20,32.101562
2010-10-21,29.421875
2010-10-22,26.671875
2010-10-23,24.351562
2010-10-24,22.242188
2010-10-25,20.375
2010-10-26,23.484375
2010-10-27,47.398438
2010-10-28,55.554688
2010-10-29,48.320312
2010-10-30,42.617188
2010-10-31,39.226562
