station,precitipation_path,wind_speed_path,wind_dir_path
station_0000,D:\flood prediction\Data Collections\DSSs\station_0000\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0000\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0000\wind_direction.dss
station_0001,D:\flood prediction\Data Collections\DSSs\station_0001\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0001\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0001\wind_direction.dss
station_0002,D:\flood prediction\Data Collections\DSSs\station_0002\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0002\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0002\wind_direction.dss
station_0003,D:\flood prediction\Data Collections\DSSs\station_0003\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0003\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0003\wind_direction.dss
station_0004,D:\flood prediction\Data Collections\DSSs\station_0004\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0004\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0004\wind_direction.dss
station_0005,D:\flood prediction\Data Collections\DSSs\station_0005\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0005\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0005\wind_direction.dss
station_0006,D:\flood prediction\Data Collections\DSSs\station_0006\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0006\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0006\wind_direction.dss
station_0007,D:\flood prediction\Data Collections\DSSs\station_0007\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0007\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0007\wind_direction.dss
station_0008,D:\flood prediction\Data Collections\DSSs\station_0008\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0008\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0008\wind_direction.dss
station_0009,D:\flood prediction\Data Collections\DSSs\station_0009\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0009\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0009\wind_direction.dss
station_0010,D:\flood prediction\Data Collections\DSSs\station_0010\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0010\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0010\wind_direction.dss
station_0011,D:\flood prediction\Data Collections\DSSs\station_0011\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0011\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0011\wind_direction.dss
station_0012,D:\flood prediction\Data Collections\DSSs\station_0012\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0012\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0012\wind_direction.dss
station_0014,D:\flood prediction\Data Collections\DSSs\station_0014\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0014\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0014\wind_direction.dss
station_0015,D:\flood prediction\Data Collections\DSSs\station_0015\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0015\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0015\wind_direction.dss
station_0016,D:\flood prediction\Data Collections\DSSs\station_0016\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0016\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0016\wind_direction.dss
station_0017,D:\flood prediction\Data Collections\DSSs\station_0017\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0017\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0017\wind_direction.dss
station_0018,D:\flood prediction\Data Collections\DSSs\station_0018\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0018\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0018\wind_direction.dss
station_0019,D:\flood prediction\Data Collections\DSSs\station_0019\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0019\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0019\wind_direction.dss
station_0020,D:\flood prediction\Data Collections\DSSs\station_0020\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0020\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0020\wind_direction.dss
station_0021,D:\flood prediction\Data Collections\DSSs\station_0021\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0021\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0021\wind_direction.dss
station_0022,D:\flood prediction\Data Collections\DSSs\station_0022\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0022\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0022\wind_direction.dss
station_0023,D:\flood prediction\Data Collections\DSSs\station_0023\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0023\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0023\wind_direction.dss
station_0024,D:\flood prediction\Data Collections\DSSs\station_0024\precipitation.dss,D:\flood prediction\Data Collections\DSSs\station_0024\wind_speed.dss,D:\flood prediction\Data Collections\DSSs\station_0024\wind_direction.dss
