lat,lon,flow_area
19196767.745562095,1780760.442559069,Perimeter 1
19196513.06328414,1780905.913945628,Perimeter 1
19198422.0953836,1771592.95706654,Perimeter 1
19198589.1457527,1771634.77952689,Perimeter 1
19198717.8689963,1771725.03573933,Perimeter 1
19198888.5724726,1771734.84028666,Perimeter 1
19199072.8188391,1771764.89729353,Perimeter 1
19199251.5245305,1771824.85298438,Perimeter 1
19199447.5451946,1771864.52158046,Perimeter 1
19199615.2932711,1771975.10760916,Perimeter 1
19199775.4262781,1772104.91290037,Perimeter 1
19199942.6796721,1772217.29457909,Perimeter 1
19200090.2084419,1772337.22290258,Perimeter 1
19200236.0685632,1772461.26154702,Perimeter 1
19200376.3020548,1772587.91792057,Perimeter 1
19200519.5602612,1772704.20224574,Perimeter 1
19200706.086557537,1772775.1686045292,Perimeter 1
19200893.300405193,1772844.4407190534,Perimeter 1
19201036.175458785,1772985.319587141,Perimeter 1
19201143.9098226,1773151.93405826,Perimeter 1
19201260.494413473,1773324.338062722,Perimeter 1
19201359.899704978,1773463.9815621336,Perimeter 1
19201484.283551183,1773627.6382881051,Perimeter 1
19201664.107996255,1773711.8043437733,Perimeter 1
19201859.074716188,1773800.3521387524,Perimeter 1
19202059.442298748,1773891.6795448447,Perimeter 1
19202232.64043575,1774001.8192021237,Perimeter 1
19202417.25686091,1774209.8077765924,Perimeter 1
19202548.918434978,1774394.0586190287,Perimeter 1
19202673.816502847,1774553.7457549593,Perimeter 1
19202793.316051412,1774675.3631150583,Perimeter 1
19202908.586507935,1774770.898130001,Perimeter 1
19203100.989487316,1774872.4848476495,Perimeter 1
19203290.203599505,1774936.098926587,Perimeter 1
19203501.069662053,1774980.2120448628,Perimeter 1
19203716.440515455,1775021.77512217,Perimeter 1
19203773.909099676,1775045.3931511412,Perimeter 1
19203846.19100695,1775273.5669767528,Perimeter 1
19203928.982386295,1775498.637835805,Perimeter 1
19203900.701158248,1775794.1279081306,Perimeter 1
19203886.072936844,1775892.6245989057,Perimeter 1
19203789.52667559,1776147.1556513049,Perimeter 1
19203672.50090437,1776430.943146509,Perimeter 1
19203574.004213598,1776739.1110107165,Perimeter 1
19203155.637081493,1777280.3552026,Perimeter 1
19203141.98407485,1777290.1073502013,Perimeter 1
19202837.71706968,1777184.7841561052,Perimeter 1
19202827.96492208,1777637.283804815,Perimeter 1
19202828.940136842,1777806.9711730813,Perimeter 1
19202860.147009164,1778265.322110352,Perimeter 1
19202886.47780769,1778578.3660483602,Perimeter 1
19202895.254740532,1778869.9552616451,Perimeter 1
19202973.271921344,1779067.9238579557,Perimeter 1
19203008.379652712,1779548.70473471,Perimeter 1
19202899.155599575,1780226.4789930147,Perimeter 1
19202858.196579646,1780704.3342254884,Perimeter 1
19202866.973512486,1780744.3180306545,Perimeter 1
19202860.147009168,1780858.4181575922,Perimeter 1
19202766.52639219,1781041.7585325004,Perimeter 1
19202467.135460824,1781648.342113314,Perimeter 1
19202389.11828001,1781797.549971617,Perimeter 1
