station_name,type,dss_filename,dss_pathname
station_0000,DSS,D:\flood prediction\Data Collections\new DSSs\station_0000\precipitation.dss,//station_0000/PRECIP/01Sep2022/1Hour/OBS/
station_0001,DSS,D:\flood prediction\Data Collections\new DSSs\station_0001\precipitation.dss,//station_0001/PRECIP/01Sep2022/1Hour/OBS/
station_0002,DSS,D:\flood prediction\Data Collections\new DSSs\station_0002\precipitation.dss,//station_0002/PRECIP/01Sep2022/1Hour/OBS/
station_0003,DSS,D:\flood prediction\Data Collections\new DSSs\station_0003\precipitation.dss,//station_0003/PRECIP/01Sep2022/1Hour/OBS/
station_0004,DSS,D:\flood prediction\Data Collections\new DSSs\station_0004\precipitation.dss,//station_0004/PRECIP/01Sep2022/1Hour/OBS/
station_0005,DSS,D:\flood prediction\Data Collections\new DSSs\station_0005\precipitation.dss,//station_0005/PRECIP/01Sep2022/1Hour/OBS/
station_0006,DSS,D:\flood prediction\Data Collections\new DSSs\station_0006\precipitation.dss,//station_0006/PRECIP/01Sep2022/1Hour/OBS/
station_0007,DSS,D:\flood prediction\Data Collections\new DSSs\station_0007\precipitation.dss,//station_0007/PRECIP/01Sep2022/1Hour/OBS/
station_0008,DSS,D:\flood prediction\Data Collections\new DSSs\station_0008\precipitation.dss,//station_0008/PRECIP/01Sep2022/1Hour/OBS/
station_0009,DSS,D:\flood prediction\Data Collections\new DSSs\station_0009\precipitation.dss,//station_0009/PRECIP/01Sep2022/1Hour/OBS/
station_0010,DSS,D:\flood prediction\Data Collections\new DSSs\station_0010\precipitation.dss,//station_0010/PRECIP/01Sep2022/1Hour/OBS/
station_0011,DSS,D:\flood prediction\Data Collections\new DSSs\station_0011\precipitation.dss,//station_0011/PRECIP/01Sep2022/1Hour/OBS/
station_0012,DSS,D:\flood prediction\Data Collections\new DSSs\station_0012\precipitation.dss,//station_0012/PRECIP/01Sep2022/1Hour/OBS/
station_0013,DSS,D:\flood prediction\Data Collections\new DSSs\station_0013\precipitation.dss,//station_0013/PRECIP/01Sep2022/1Hour/OBS/
station_0014,DSS,D:\flood prediction\Data Collections\new DSSs\station_0014\precipitation.dss,//station_0014/PRECIP/01Sep2022/1Hour/OBS/
station_0015,DSS,D:\flood prediction\Data Collections\new DSSs\station_0015\precipitation.dss,//station_0015/PRECIP/01Sep2022/1Hour/OBS/
station_0016,DSS,D:\flood prediction\Data Collections\new DSSs\station_0016\precipitation.dss,//station_0016/PRECIP/01Sep2022/1Hour/OBS/
station_0017,DSS,D:\flood prediction\Data Collections\new DSSs\station_0017\precipitation.dss,//station_0017/PRECIP/01Sep2022/1Hour/OBS/
station_0018,DSS,D:\flood prediction\Data Collections\new DSSs\station_0018\precipitation.dss,//station_0018/PRECIP/01Sep2022/1Hour/OBS/
station_0019,DSS,D:\flood prediction\Data Collections\new DSSs\station_0019\precipitation.dss,//station_0019/PRECIP/01Sep2022/1Hour/OBS/
station_0020,DSS,D:\flood prediction\Data Collections\new DSSs\station_0020\precipitation.dss,//station_0020/PRECIP/01Sep2022/1Hour/OBS/
station_0021,DSS,D:\flood prediction\Data Collections\new DSSs\station_0021\precipitation.dss,//station_0021/PRECIP/01Sep2022/1Hour/OBS/
station_0022,DSS,D:\flood prediction\Data Collections\new DSSs\station_0022\precipitation.dss,//station_0022/PRECIP/01Sep2022/1Hour/OBS/
station_0023,DSS,D:\flood prediction\Data Collections\new DSSs\station_0023\precipitation.dss,//station_0023/PRECIP/01Sep2022/1Hour/OBS/
station_0024,DSS,D:\flood prediction\Data Collections\new DSSs\station_0024\precipitation.dss,//station_0024/PRECIP/01Sep2022/1Hour/OBS/
station_0025,DSS,D:\flood prediction\Data Collections\new DSSs\station_0025\precipitation.dss,//station_0025/PRECIP/01Sep2022/1Hour/OBS/
station_0026,DSS,D:\flood prediction\Data Collections\new DSSs\station_0026\precipitation.dss,//station_0026/PRECIP/01Sep2022/1Hour/OBS/
station_0027,DSS,D:\flood prediction\Data Collections\new DSSs\station_0027\precipitation.dss,//station_0027/PRECIP/01Sep2022/1Hour/OBS/
station_0028,DSS,D:\flood prediction\Data Collections\new DSSs\station_0028\precipitation.dss,//station_0028/PRECIP/01Sep2022/1Hour/OBS/
station_0029,DSS,D:\flood prediction\Data Collections\new DSSs\station_0029\precipitation.dss,//station_0029/PRECIP/01Sep2022/1Hour/OBS/
station_0030,DSS,D:\flood prediction\Data Collections\new DSSs\station_0030\precipitation.dss,//station_0030/PRECIP/01Sep2022/1Hour/OBS/
station_0031,DSS,D:\flood prediction\Data Collections\new DSSs\station_0031\precipitation.dss,//station_0031/PRECIP/01Sep2022/1Hour/OBS/
station_0032,DSS,D:\flood prediction\Data Collections\new DSSs\station_0032\precipitation.dss,//station_0032/PRECIP/01Sep2022/1Hour/OBS/
station_0033,DSS,D:\flood prediction\Data Collections\new DSSs\station_0033\precipitation.dss,//station_0033/PRECIP/01Sep2022/1Hour/OBS/
station_0034,DSS,D:\flood prediction\Data Collections\new DSSs\station_0034\precipitation.dss,//station_0034/PRECIP/01Sep2022/1Hour/OBS/
station_0035,DSS,D:\flood prediction\Data Collections\new DSSs\station_0035\precipitation.dss,//station_0035/PRECIP/01Sep2022/1Hour/OBS/
station_0036,DSS,D:\flood prediction\Data Collections\new DSSs\station_0036\precipitation.dss,//station_0036/PRECIP/01Sep2022/1Hour/OBS/
station_0037,DSS,D:\flood prediction\Data Collections\new DSSs\station_0037\precipitation.dss,//station_0037/PRECIP/01Sep2022/1Hour/OBS/
station_0038,DSS,D:\flood prediction\Data Collections\new DSSs\station_0038\precipitation.dss,//station_0038/PRECIP/01Sep2022/1Hour/OBS/
station_0039,DSS,D:\flood prediction\Data Collections\new DSSs\station_0039\precipitation.dss,//station_0039/PRECIP/01Sep2022/1Hour/OBS/
station_0040,DSS,D:\flood prediction\Data Collections\new DSSs\station_0040\precipitation.dss,//station_0040/PRECIP/01Sep2022/1Hour/OBS/
station_0041,DSS,D:\flood prediction\Data Collections\new DSSs\station_0041\precipitation.dss,//station_0041/PRECIP/01Sep2022/1Hour/OBS/
station_0042,DSS,D:\flood prediction\Data Collections\new DSSs\station_0042\precipitation.dss,//station_0042/PRECIP/01Sep2022/1Hour/OBS/
station_0043,DSS,D:\flood prediction\Data Collections\new DSSs\station_0043\precipitation.dss,//station_0043/PRECIP/01Sep2022/1Hour/OBS/
station_0044,DSS,D:\flood prediction\Data Collections\new DSSs\station_0044\precipitation.dss,//station_0044/PRECIP/01Sep2022/1Hour/OBS/
station_0045,DSS,D:\flood prediction\Data Collections\new DSSs\station_0045\precipitation.dss,//station_0045/PRECIP/01Sep2022/1Hour/OBS/
station_0046,DSS,D:\flood prediction\Data Collections\new DSSs\station_0046\precipitation.dss,//station_0046/PRECIP/01Sep2022/1Hour/OBS/
station_0047,DSS,D:\flood prediction\Data Collections\new DSSs\station_0047\precipitation.dss,//station_0047/PRECIP/01Sep2022/1Hour/OBS/
station_0048,DSS,D:\flood prediction\Data Collections\new DSSs\station_0048\precipitation.dss,//station_0048/PRECIP/01Sep2022/1Hour/OBS/
station_0049,DSS,D:\flood prediction\Data Collections\new DSSs\station_0049\precipitation.dss,//station_0049/PRECIP/01Sep2022/1Hour/OBS/
station_0050,DSS,D:\flood prediction\Data Collections\new DSSs\station_0050\precipitation.dss,//station_0050/PRECIP/01Sep2022/1Hour/OBS/
station_0051,DSS,D:\flood prediction\Data Collections\new DSSs\station_0051\precipitation.dss,//station_0051/PRECIP/01Sep2022/1Hour/OBS/
station_0052,DSS,D:\flood prediction\Data Collections\new DSSs\station_0052\precipitation.dss,//station_0052/PRECIP/01Sep2022/1Hour/OBS/
station_0053,DSS,D:\flood prediction\Data Collections\new DSSs\station_0053\precipitation.dss,//station_0053/PRECIP/01Sep2022/1Hour/OBS/
station_0054,DSS,D:\flood prediction\Data Collections\new DSSs\station_0054\precipitation.dss,//station_0054/PRECIP/01Sep2022/1Hour/OBS/
station_0055,DSS,D:\flood prediction\Data Collections\new DSSs\station_0055\precipitation.dss,//station_0055/PRECIP/01Sep2022/1Hour/OBS/
station_0056,DSS,D:\flood prediction\Data Collections\new DSSs\station_0056\precipitation.dss,//station_0056/PRECIP/01Sep2022/1Hour/OBS/
station_0057,DSS,D:\flood prediction\Data Collections\new DSSs\station_0057\precipitation.dss,//station_0057/PRECIP/01Sep2022/1Hour/OBS/
