station_name,gauge_height,latitude,longitude,project_x,project_y
station_0000,10,,,19198535.70,1771743.25
station_0001,10,,,19199687.52,1772354.43
station_0002,10,,,19199507.35,1772375.92
station_0003,10,,,19199726.56,1772388.58
station_0004,10,,,19199708.66,1772516.28
station_0005,10,,,19199526.86,1772804.05
station_0006,10,,,19199969.26,1772847.21
station_0007,10,,,19199936.88,1772885.31
station_0008,10,,,19199729.26,1772921.02
station_0009,10,,,19199931.04,1772925.41
station_0010,10,,,19198668.01,1772996.88
station_0011,10,,,19200042.35,1772998.78
station_0012,10,,,19200021.96,1773030.06
station_0013,10,,,19199971.75,1773055.24
station_0014,10,,,19200391.15,1773082.60
station_0015,10,,,19200668.21,1773257.36
station_0016,10,,,19200058.49,1773268.34
station_0017,10,,,19200618.49,1773325.80
station_0018,10,,,19200120.72,1773414.18
station_0019,10,,,19201206.91,1773426.27
station_0020,10,,,19199740.22,1773459.15
station_0021,10,,,19200411.17,1773465.68
station_0022,10,,,19200350.86,1773485.36
station_0023,10,,,19199713.73,1773508.78
station_0024,10,,,19200062.91,1773545.05
station_0025,10,,,19199705.03,1773562.41
station_0026,10,,,19199749.94,1773579.30
station_0027,10,,,19200318.18,1773602.99
station_0028,10,,,19201576.28,1773729.75
station_0029,10,,,19200957.73,1773892.29
station_0030,10,,,19200590.50,1774011.81
station_0031,10,,,19199298.58,1774100.38
station_0032,10,,,19201188.11,1774099.47
station_0033,10,,,19201240.50,1774106.23
station_0034,10,,,19200455.22,1774252.08
station_0035,10,,,19200958.08,1774300.56
station_0036,10,,,19201542.19,1774358.73
station_0037,10,,,19201855.29,1774390.98
station_0038,10,,,19201853.03,1774467.58
station_0039,10,,,19202481.72,1774573.11
station_0040,10,,,19199041.79,1774689.97
station_0041,10,,,19199128.18,1774794.61
station_0042,10,,,19198763.48,1774923.86
station_0043,10,,,19203119.57,1774894.44
station_0044,10,,,19202580.23,1775147.60
station_0045,10,,,19198053.05,1775269.23
station_0046,10,,,19202248.80,1775247.59
station_0047,10,,,19198027.85,1775314.67
station_0048,10,,,19198947.01,1775309.93
station_0049,10,,,19201126.35,1775298.53
station_0050,10,,,19202729.48,1775323.42
station_0051,10,,,19201730.51,1775456.63
station_0052,10,,,19202232.63,1775481.87
station_0053,10,,,19202334.01,1775483.28
station_0054,10,,,19202354.53,1775495.19
station_0055,10,,,19198586.60,1775612.42
station_0056,10,,,19201777.55,1775582.71
station_0057,10,,,19202162.54,1775586.66
station_0058,10,,,19202162.18,1775587.18
station_0059,10,,,19202162.49,1775587.24
station_0060,10,,,19202162.76,1775587.43
station_0061,10,,,19202584.99,1775604.20
station_0062,10,,,19202215.84,1775628.01
station_0063,10,,,19203364.35,1775614.62
station_0064,10,,,19201277.08,1775702.67
station_0065,10,,,19202202.95,1775729.59
station_0066,10,,,19202202.55,1775731.00
station_0067,10,,,19202700.65,1775730.39
station_0068,10,,,19202705.18,1775732.97
station_0069,10,,,19202499.00,1775802.36
station_0070,10,,,19201970.55,1775850.94
station_0071,10,,,19202952.85,1775857.44
station_0072,10,,,19202299.80,1775888.46
station_0073,10,,,19201937.77,1775984.28
station_0074,10,,,19202245.67,1776006.07
station_0075,10,,,19198320.19,1776121.60
station_0076,10,,,19201566.81,1776085.44
station_0077,10,,,19202500.61,1776089.96
station_0078,10,,,19198401.14,1776219.67
station_0079,10,,,19202592.98,1776164.96
station_0080,10,,,19201459.48,1776214.96
station_0081,10,,,19202479.29,1776242.03
station_0082,10,,,19198474.68,1776372.45
station_0083,10,,,19198660.79,1776380.34
station_0084,10,,,19201591.19,1776376.94
station_0085,10,,,19201637.41,1776390.66
station_0086,10,,,19202649.60,1776385.66
station_0087,10,,,19200951.77,1776421.17
station_0088,10,,,19201652.51,1776418.88
station_0089,10,,,19202378.45,1776414.66
station_0090,10,,,19202132.30,1776419.97
station_0091,10,,,19202132.36,1776424.40
station_0092,10,,,19202140.11,1776443.13
station_0093,10,,,19201624.32,1776466.02
station_0094,10,,,19197984.01,1776541.22
station_0095,10,,,19197885.59,1776544.73
station_0096,10,,,19201058.56,1776520.75
station_0097,10,,,19202271.39,1776509.83
station_0098,10,,,19201098.25,1776528.24
station_0099,10,,,19201641.62,1776540.21
station_0100,10,,,19201490.25,1776543.05
station_0101,10,,,19201115.75,1776578.72
station_0102,10,,,19200951.05,1776593.43
station_0103,10,,,19200949.72,1776597.00
station_0104,10,,,19202076.46,1776618.15
station_0105,10,,,19202231.34,1776694.51
station_0106,10,,,19198303.37,1777026.81
station_0107,10,,,19202187.59,1777114.67
station_0108,10,,,19197540.53,1777193.98
station_0109,10,,,19201773.54,1777237.61
station_0110,10,,,19197946.78,1777313.55
station_0111,10,,,19197336.30,1777323.35
station_0112,10,,,19202000.20,1777305.31
station_0113,10,,,19197875.72,1777534.55
station_0114,10,,,19202419.02,1777490.69
station_0115,10,,,19197376.09,1777603.03
station_0116,10,,,19197445.02,1777623.01
station_0117,10,,,19197864.50,1777654.36
station_0118,10,,,19202332.77,1777601.76
station_0119,10,,,19198885.13,1777665.84
station_0120,10,,,19202144.70,1777661.21
station_0121,10,,,19199029.32,1777711.19
