station_name,type,dss_filename,dss_pathname
station_0000,DSS,D:\flood prediction\Data Collections\new DSSs\station_0000\wind_direction.dss,//station_0000/WIND-DIR/01Sep2022/1Hour/OBS/
station_0001,DSS,D:\flood prediction\Data Collections\new DSSs\station_0001\wind_direction.dss,//station_0001/WIND-DIR/01Sep2022/1Hour/OBS/
station_0002,DSS,D:\flood prediction\Data Collections\new DSSs\station_0002\wind_direction.dss,//station_0002/WIND-DIR/01Sep2022/1Hour/OBS/
station_0003,DSS,D:\flood prediction\Data Collections\new DSSs\station_0003\wind_direction.dss,//station_0003/WIND-DIR/01Sep2022/1Hour/OBS/
station_0004,DSS,D:\flood prediction\Data Collections\new DSSs\station_0004\wind_direction.dss,//station_0004/WIND-DIR/01Sep2022/1Hour/OBS/
station_0005,DSS,D:\flood prediction\Data Collections\new DSSs\station_0005\wind_direction.dss,//station_0005/WIND-DIR/01Sep2022/1Hour/OBS/
station_0006,DSS,D:\flood prediction\Data Collections\new DSSs\station_0006\wind_direction.dss,//station_0006/WIND-DIR/01Sep2022/1Hour/OBS/
station_0007,DSS,D:\flood prediction\Data Collections\new DSSs\station_0007\wind_direction.dss,//station_0007/WIND-DIR/01Sep2022/1Hour/OBS/
station_0008,DSS,D:\flood prediction\Data Collections\new DSSs\station_0008\wind_direction.dss,//station_0008/WIND-DIR/01Sep2022/1Hour/OBS/
station_0009,DSS,D:\flood prediction\Data Collections\new DSSs\station_0009\wind_direction.dss,//station_0009/WIND-DIR/01Sep2022/1Hour/OBS/
station_0010,DSS,D:\flood prediction\Data Collections\new DSSs\station_0010\wind_direction.dss,//station_0010/WIND-DIR/01Sep2022/1Hour/OBS/
station_0011,DSS,D:\flood prediction\Data Collections\new DSSs\station_0011\wind_direction.dss,//station_0011/WIND-DIR/01Sep2022/1Hour/OBS/
station_0012,DSS,D:\flood prediction\Data Collections\new DSSs\station_0012\wind_direction.dss,//station_0012/WIND-DIR/01Sep2022/1Hour/OBS/
station_0013,DSS,D:\flood prediction\Data Collections\new DSSs\station_0013\wind_direction.dss,//station_0013/WIND-DIR/01Sep2022/1Hour/OBS/
station_0014,DSS,D:\flood prediction\Data Collections\new DSSs\station_0014\wind_direction.dss,//station_0014/WIND-DIR/01Sep2022/1Hour/OBS/
station_0015,DSS,D:\flood prediction\Data Collections\new DSSs\station_0015\wind_direction.dss,//station_0015/WIND-DIR/01Sep2022/1Hour/OBS/
station_0016,DSS,D:\flood prediction\Data Collections\new DSSs\station_0016\wind_direction.dss,//station_0016/WIND-DIR/01Sep2022/1Hour/OBS/
station_0017,DSS,D:\flood prediction\Data Collections\new DSSs\station_0017\wind_direction.dss,//station_0017/WIND-DIR/01Sep2022/1Hour/OBS/
station_0018,DSS,D:\flood prediction\Data Collections\new DSSs\station_0018\wind_direction.dss,//station_0018/WIND-DIR/01Sep2022/1Hour/OBS/
station_0019,DSS,D:\flood prediction\Data Collections\new DSSs\station_0019\wind_direction.dss,//station_0019/WIND-DIR/01Sep2022/1Hour/OBS/
station_0020,DSS,D:\flood prediction\Data Collections\new DSSs\station_0020\wind_direction.dss,//station_0020/WIND-DIR/01Sep2022/1Hour/OBS/
station_0021,DSS,D:\flood prediction\Data Collections\new DSSs\station_0021\wind_direction.dss,//station_0021/WIND-DIR/01Sep2022/1Hour/OBS/
station_0022,DSS,D:\flood prediction\Data Collections\new DSSs\station_0022\wind_direction.dss,//station_0022/WIND-DIR/01Sep2022/1Hour/OBS/
station_0023,DSS,D:\flood prediction\Data Collections\new DSSs\station_0023\wind_direction.dss,//station_0023/WIND-DIR/01Sep2022/1Hour/OBS/
station_0024,DSS,D:\flood prediction\Data Collections\new DSSs\station_0024\wind_direction.dss,//station_0024/WIND-DIR/01Sep2022/1Hour/OBS/
station_0025,DSS,D:\flood prediction\Data Collections\new DSSs\station_0025\wind_direction.dss,//station_0025/WIND-DIR/01Sep2022/1Hour/OBS/
station_0026,DSS,D:\flood prediction\Data Collections\new DSSs\station_0026\wind_direction.dss,//station_0026/WIND-DIR/01Sep2022/1Hour/OBS/
station_0027,DSS,D:\flood prediction\Data Collections\new DSSs\station_0027\wind_direction.dss,//station_0027/WIND-DIR/01Sep2022/1Hour/OBS/
station_0028,DSS,D:\flood prediction\Data Collections\new DSSs\station_0028\wind_direction.dss,//station_0028/WIND-DIR/01Sep2022/1Hour/OBS/
station_0029,DSS,D:\flood prediction\Data Collections\new DSSs\station_0029\wind_direction.dss,//station_0029/WIND-DIR/01Sep2022/1Hour/OBS/
station_0030,DSS,D:\flood prediction\Data Collections\new DSSs\station_0030\wind_direction.dss,//station_0030/WIND-DIR/01Sep2022/1Hour/OBS/
station_0031,DSS,D:\flood prediction\Data Collections\new DSSs\station_0031\wind_direction.dss,//station_0031/WIND-DIR/01Sep2022/1Hour/OBS/
station_0032,DSS,D:\flood prediction\Data Collections\new DSSs\station_0032\wind_direction.dss,//station_0032/WIND-DIR/01Sep2022/1Hour/OBS/
station_0033,DSS,D:\flood prediction\Data Collections\new DSSs\station_0033\wind_direction.dss,//station_0033/WIND-DIR/01Sep2022/1Hour/OBS/
station_0034,DSS,D:\flood prediction\Data Collections\new DSSs\station_0034\wind_direction.dss,//station_0034/WIND-DIR/01Sep2022/1Hour/OBS/
station_0035,DSS,D:\flood prediction\Data Collections\new DSSs\station_0035\wind_direction.dss,//station_0035/WIND-DIR/01Sep2022/1Hour/OBS/
station_0036,DSS,D:\flood prediction\Data Collections\new DSSs\station_0036\wind_direction.dss,//station_0036/WIND-DIR/01Sep2022/1Hour/OBS/
station_0037,DSS,D:\flood prediction\Data Collections\new DSSs\station_0037\wind_direction.dss,//station_0037/WIND-DIR/01Sep2022/1Hour/OBS/
station_0038,DSS,D:\flood prediction\Data Collections\new DSSs\station_0038\wind_direction.dss,//station_0038/WIND-DIR/01Sep2022/1Hour/OBS/
station_0039,DSS,D:\flood prediction\Data Collections\new DSSs\station_0039\wind_direction.dss,//station_0039/WIND-DIR/01Sep2022/1Hour/OBS/
station_0040,DSS,D:\flood prediction\Data Collections\new DSSs\station_0040\wind_direction.dss,//station_0040/WIND-DIR/01Sep2022/1Hour/OBS/
station_0041,DSS,D:\flood prediction\Data Collections\new DSSs\station_0041\wind_direction.dss,//station_0041/WIND-DIR/01Sep2022/1Hour/OBS/
station_0042,DSS,D:\flood prediction\Data Collections\new DSSs\station_0042\wind_direction.dss,//station_0042/WIND-DIR/01Sep2022/1Hour/OBS/
station_0043,DSS,D:\flood prediction\Data Collections\new DSSs\station_0043\wind_direction.dss,//station_0043/WIND-DIR/01Sep2022/1Hour/OBS/
station_0044,DSS,D:\flood prediction\Data Collections\new DSSs\station_0044\wind_direction.dss,//station_0044/WIND-DIR/01Sep2022/1Hour/OBS/
station_0045,DSS,D:\flood prediction\Data Collections\new DSSs\station_0045\wind_direction.dss,//station_0045/WIND-DIR/01Sep2022/1Hour/OBS/
station_0046,DSS,D:\flood prediction\Data Collections\new DSSs\station_0046\wind_direction.dss,//station_0046/WIND-DIR/01Sep2022/1Hour/OBS/
station_0047,DSS,D:\flood prediction\Data Collections\new DSSs\station_0047\wind_direction.dss,//station_0047/WIND-DIR/01Sep2022/1Hour/OBS/
station_0048,DSS,D:\flood prediction\Data Collections\new DSSs\station_0048\wind_direction.dss,//station_0048/WIND-DIR/01Sep2022/1Hour/OBS/
station_0049,DSS,D:\flood prediction\Data Collections\new DSSs\station_0049\wind_direction.dss,//station_0049/WIND-DIR/01Sep2022/1Hour/OBS/
station_0050,DSS,D:\flood prediction\Data Collections\new DSSs\station_0050\wind_direction.dss,//station_0050/WIND-DIR/01Sep2022/1Hour/OBS/
station_0051,DSS,D:\flood prediction\Data Collections\new DSSs\station_0051\wind_direction.dss,//station_0051/WIND-DIR/01Sep2022/1Hour/OBS/
station_0052,DSS,D:\flood prediction\Data Collections\new DSSs\station_0052\wind_direction.dss,//station_0052/WIND-DIR/01Sep2022/1Hour/OBS/
station_0053,DSS,D:\flood prediction\Data Collections\new DSSs\station_0053\wind_direction.dss,//station_0053/WIND-DIR/01Sep2022/1Hour/OBS/
station_0054,DSS,D:\flood prediction\Data Collections\new DSSs\station_0054\wind_direction.dss,//station_0054/WIND-DIR/01Sep2022/1Hour/OBS/
station_0055,DSS,D:\flood prediction\Data Collections\new DSSs\station_0055\wind_direction.dss,//station_0055/WIND-DIR/01Sep2022/1Hour/OBS/
station_0056,DSS,D:\flood prediction\Data Collections\new DSSs\station_0056\wind_direction.dss,//station_0056/WIND-DIR/01Sep2022/1Hour/OBS/
station_0057,DSS,D:\flood prediction\Data Collections\new DSSs\station_0057\wind_direction.dss,//station_0057/WIND-DIR/01Sep2022/1Hour/OBS/
station_0058,DSS,D:\flood prediction\Data Collections\new DSSs\station_0058\wind_direction.dss,//station_0058/WIND-DIR/01Sep2022/1Hour/OBS/
station_0059,DSS,D:\flood prediction\Data Collections\new DSSs\station_0059\wind_direction.dss,//station_0059/WIND-DIR/01Sep2022/1Hour/OBS/
station_0060,DSS,D:\flood prediction\Data Collections\new DSSs\station_0060\wind_direction.dss,//station_0060/WIND-DIR/01Sep2022/1Hour/OBS/
station_0061,DSS,D:\flood prediction\Data Collections\new DSSs\station_0061\wind_direction.dss,//station_0061/WIND-DIR/01Sep2022/1Hour/OBS/
station_0062,DSS,D:\flood prediction\Data Collections\new DSSs\station_0062\wind_direction.dss,//station_0062/WIND-DIR/01Sep2022/1Hour/OBS/
station_0063,DSS,D:\flood prediction\Data Collections\new DSSs\station_0063\wind_direction.dss,//station_0063/WIND-DIR/01Sep2022/1Hour/OBS/
station_0064,DSS,D:\flood prediction\Data Collections\new DSSs\station_0064\wind_direction.dss,//station_0064/WIND-DIR/01Sep2022/1Hour/OBS/
station_0065,DSS,D:\flood prediction\Data Collections\new DSSs\station_0065\wind_direction.dss,//station_0065/WIND-DIR/01Sep2022/1Hour/OBS/
station_0066,DSS,D:\flood prediction\Data Collections\new DSSs\station_0066\wind_direction.dss,//station_0066/WIND-DIR/01Sep2022/1Hour/OBS/
station_0067,DSS,D:\flood prediction\Data Collections\new DSSs\station_0067\wind_direction.dss,//station_0067/WIND-DIR/01Sep2022/1Hour/OBS/
station_0068,DSS,D:\flood prediction\Data Collections\new DSSs\station_0068\wind_direction.dss,//station_0068/WIND-DIR/01Sep2022/1Hour/OBS/
station_0069,DSS,D:\flood prediction\Data Collections\new DSSs\station_0069\wind_direction.dss,//station_0069/WIND-DIR/01Sep2022/1Hour/OBS/
station_0070,DSS,D:\flood prediction\Data Collections\new DSSs\station_0070\wind_direction.dss,//station_0070/WIND-DIR/01Sep2022/1Hour/OBS/
station_0071,DSS,D:\flood prediction\Data Collections\new DSSs\station_0071\wind_direction.dss,//station_0071/WIND-DIR/01Sep2022/1Hour/OBS/
station_0072,DSS,D:\flood prediction\Data Collections\new DSSs\station_0072\wind_direction.dss,//station_0072/WIND-DIR/01Sep2022/1Hour/OBS/
station_0073,DSS,D:\flood prediction\Data Collections\new DSSs\station_0073\wind_direction.dss,//station_0073/WIND-DIR/01Sep2022/1Hour/OBS/
station_0074,DSS,D:\flood prediction\Data Collections\new DSSs\station_0074\wind_direction.dss,//station_0074/WIND-DIR/01Sep2022/1Hour/OBS/
